,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,209,792,869",$105.14,11506100,Low Vol,-0.05%,0.57%,6.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$60,288,261",$3.01,20034580,Low Vol,0.31%,0.68%,0.96%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$45,983,543",$0.005882,"7,817,889,792 *",Low Vol,-0.05%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,NMC Namecoin,NMC,"$3,844,310",$0.621399,6186543,Low Vol,0.00%,-0.27%,3.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,PPC Peercoin,PPC,"$3,194,186",$0.160870,19855732,Low Vol,0.00%,-2.16%,17.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,FTC Feathercoin,FTC,"$2,066,054",$0.166127,12436600,Low Vol,-4.87%,-14.74%,90.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,NVC Novacoin,NVC,"$1,855,987",$5.46,340114,Low Vol,-0.38%,-0.37%,-8.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XPM Primecoin,XPM,"$889,983",$0.648740,1371864,Low Vol,-0.08%,1.21%,-9.84%,Add to Watchlist Remove from Watchlist Watchlist full!  View Chart View Markets View Historical Data
8,9,TRC Terracoin,TRC,"$596,396",$0.169281,3523110,Low Vol,-3.11%,-3.88%,29.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,DVC Devcoin,DVC,"$321,340",$0.000064,5010169856,Low Vol,0.00%,0.58%,14.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
