,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,124,306,468",$99.51,11298425,Low Vol,-0.01%,-0.89%,-1.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$39,617,176",$2.13,18603854,Low Vol,0.84%,1.31%,-10.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$2,313,382",$0.395055,5855850,Low Vol,1.27%,-2.70%,-31.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$2,131,363",$0.110456,19296016,Low Vol,-0.78%,0.16%,-5.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$943,739",$3.25,290648,Low Vol,-0.29%,-1.17%,-2.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,FTC Feathercoin,FTC,"$817,909",$0.108466,7540700,Low Vol,0.39%,-5.68%,-13.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,TRC Terracoin,TRC,"$468,510",$0.160211,2924330,Low Vol,0.08%,-3.21%,-18.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DVC Devcoin,DVC,"$411,177",$0.000088,4686519808,Low Vol,1.33%,-2.48%,-25.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,FRC Freicoin,FRC,"$386,099",$0.017913,21554378,Low Vol,-0.01%,1.96%,11.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,CNC CHNCoin,CNC,"$216,137",$0.041794,5171458,Low Vol,-0.01%,-1.85%,-18.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,BQC BBQCoin,BQC,"$83,118",$0.004359,19070168,Low Vol,7.00%,5.17%,-19.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,DGC Digitalcoin,DGC,"$71,554",$0.029874,2395198,Low Vol,0.06%,2.39%,-20.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,YAC Yacoin,YAC,"$70,774",$0.019902,3556148,Low Vol,-0.65%,-4.87%,-39.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,WDC WorldCoin,WDC,"$56,980",$0.009473,6014815,Low Vol,-0.01%,-3.74%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,MNC Mincoin,MNC,"$37,617",$0.033933,1108579,Low Vol,-0.01%,-18.87%,-19.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,BTB BitBar,BTB,"$21,487",$5.97,3599,Low Vol,-11.12%,-8.50%,-54.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,GLC GoldCoin,GLC,"$19,834",$0.001462,13566450,Low Vol,-0.67%,23.24%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,MEM Memecoin,MEM,"$8,475",$0.000816,10381550,Low Vol,-0.33%,15.87%,-49.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,LKY Luckycoin,LKY,"$7,949",$0.002512,3164008,Low Vol,-0.05%,-3.59%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,FRK Franko,FRK,"$4,284",$0.193945,22091,Low Vol,16.59%,42.68%,29.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,AMC AmericanCoin,AMC,"$2,148",$0.002115,1015900,Low Vol,-0.01%,-0.54%,-50.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,JKC Junkcoin,JKC,"$1,958",$0.000381,5145900,Low Vol,1.00%,7.89%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,NBL Nibble,NBL,"$1,867",$0.002984,625804,Low Vol,0.22%,18.64%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,ELC Elacoin,ELC,"$1,393",$0.064684,21530,Low Vol,-0.01%,0.58%,19.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
