,Author Name,Company Name,Crypto,Favorite Count,Message ID,Processed Text,Published At,Retweet Count,Text
7,ProjectX - XtradeBOT,DROP,,0,1167533245854101504,📢NEW TRADE 🌎Exchange:     ⏳Buy Date : 2019-08-30 19:08:38 ⌛Sell Date : 2019-08-30 22:23:03 📈Buy : 0.0…,2019-08-30 20:23:12,0,"📢NEW TRADE
🌎Exchange: #Binance
📌#EDOBTC
⏳Buy Date : 2019-08-30 19:08:38
⌛Sell Date : 2019-08-30 22:23:03
📈Buy : 0.0… https://t.co/oaBOZKpUww"
8,Inputspike,DROP,,1,1166777493048692736,"ETH/EDO (Binance) gained 7.56% in the last 20 min. 0.43747276USD, 0.00004294Ƀ $EDO    ",2019-08-28 18:20:06,0,"ETH/EDO (Binance) gained 7.56% in the last 20 min. 0.43747276USD, 0.00004294Ƀ $EDO #Eidoo #cryptocurrency https://t.co/tHSSeSa9e3"
9,bustops.ng,DROP,,0,1166655432229888003,   OMG!! See How SARS Assaults A Boy And His Mother In Edo (Watch Video)        ,2019-08-28 10:15:05,1,RT @chukslyonews_: OMG!! See How SARS Assaults A Boy And His Mother In Edo (Watch Video) https://t.co/N9r5OZeryn @Gidi_Traffic @bustopsng @…
10,CHUKS LYON EMPIRE,DROP,,1,1166646636707287040,OMG!! See How SARS Assaults A Boy And His Mother In Edo (Watch Video)    ,2019-08-28 09:40:08,1,OMG!! See How SARS Assaults A Boy And His Mother In Edo (Watch Video) https://t.co/N9r5OZeryn @Gidi_Traffic… https://t.co/UQWZdoatKi
11,ProjectX - XtradeBOT,DROP,,0,1166492997900525568,📢NEW TRADE 🌎Exchange:     ⏳Buy Date : 2019-08-27 00:20:46 ⌛Sell Date : 2019-08-28 01:29:30 📈Buy : 0.0…,2019-08-27 23:29:37,0,"📢NEW TRADE
🌎Exchange: #Binance
📌#EDOBTC
⏳Buy Date : 2019-08-27 00:20:46
⌛Sell Date : 2019-08-28 01:29:30
📈Buy : 0.0… https://t.co/eCJlSL5bNk"
0,CoinMarketNews,DROP,,4,1169754609998540800,Today's top cryptocurrency gainers:  $DIVI (17.52%) up $XMX (14.29%) up $KNC (13.15%) up $CRPT (11.71%) up $FCT (…,2019-09-05 23:30:06,0,"Today's top cryptocurrency gainers: 
 
$DIVI (17.52%) up
$XMX (14.29%) up
$KNC (13.15%) up
$CRPT (11.71%) up
$FCT (… https://t.co/J1Rq4znVkr"
1,Joe Gambiste,DROP,,0,1169575356342394880,   Today's top cryptocurrency gainers:  $CENNZ (20.60%) up $DIVI (14.17%) up $CRPT (11.71%) up $NRG (9.69%) up $STEEM (7…,2019-09-05 11:37:49,1,"RT @coinmarketnews: Today's top cryptocurrency gainers: 
 
$CENNZ (20.60%) up
$DIVI (14.17%) up
$CRPT (11.71%) up
$NRG (9.69%) up
$STEEM (7…"
2,CoinMarketNews,DROP,,2,1169573420570423296,Today's top cryptocurrency gainers:  $CENNZ (20.60%) up $DIVI (14.17%) up $CRPT (11.71%) up $NRG (9.69%) up…,2019-09-05 11:30:07,1,"Today's top cryptocurrency gainers: 
 
$CENNZ (20.60%) up
$DIVI (14.17%) up
$CRPT (11.71%) up
$NRG (9.69%) up… https://t.co/NyOiUwGXOy"
3,ICOLOG,DROP,,0,1169567251202215938,A Short Yet Comprehensive Guide On Libra — Facebook’s Cryptocurrency... PRC: $0.343000 (-0.90%) • ROI: -437.32% • H…,2019-09-05 11:05:36,0,"A Short Yet Comprehensive Guide On Libra — Facebook’s Cryptocurrency...
PRC: $0.343000 (-0.90%) • ROI: -437.32% • H… https://t.co/QHbK4Ak6Vx"
4,CoinMarketNews,DROP,,0,1169392222669803521,Today's top cryptocurrency gainers:  $CRPT (11.71%) up $LINA (10.23%) up $MANA (10.14%) up $ENJ (7.65%) up $TTC (…,2019-09-04 23:30:06,0,"Today's top cryptocurrency gainers: 
 
$CRPT (11.71%) up
$LINA (10.23%) up
$MANA (10.14%) up
$ENJ (7.65%) up
$TTC (… https://t.co/0UL4sp9QA5"
5,Joseph,DROP,,0,1169335708781334528,Airdrop... Cryptocurrency! GET YOURS!,2019-09-04 19:45:32,0,Airdrop... Cryptocurrency! GET YOURS! https://t.co/wsw6kAPEFQ
6,CoinMarketNews,DROP,,9,1169211028393082880,Today's top cryptocurrency gainers:  $RET (18.28%) up $VALOR (12.36%) up $XMX (11.98%) up $CRPT (11.71%) up $LINA…,2019-09-04 11:30:06,0,"Today's top cryptocurrency gainers: 
 
$RET (18.28%) up
$VALOR (12.36%) up
$XMX (11.98%) up
$CRPT (11.71%) up
$LINA… https://t.co/SjoSuvPdcS"
7,CoinMarketNews,DROP,,0,1169029838365237249,Today's top cryptocurrency gainers:  $XMX (15.95%) up $CRPT (14.75%) up $VSYS (12.48%) up $CRPT (11.71%) up $MAID…,2019-09-03 23:30:07,0,"Today's top cryptocurrency gainers: 
 
$XMX (15.95%) up
$CRPT (14.75%) up
$VSYS (12.48%) up
$CRPT (11.71%) up
$MAID… https://t.co/AbaQhFn0hd"
8,ICOLOG,DROP,,0,1168993465994240002,"The delivery service of the world-famous fast-food restaurants, Burger King is now accepting payments in the crypto…",2019-09-03 21:05:35,0,"The delivery service of the world-famous fast-food restaurants, Burger King is now accepting payments in the crypto… https://t.co/cL9CZDBXWw"
10,CoinMarketNews,DROP,,7,1168848651688534016,Today's top cryptocurrency gainers:  $RDD (20.50%) up $XMX (15.60%) up $VSYS (13.85%) up $KMD (13.19%) up $CRPT (…,2019-09-03 11:30:09,0,"Today's top cryptocurrency gainers: 
 
$RDD (20.50%) up
$XMX (15.60%) up
$VSYS (13.85%) up
$KMD (13.19%) up
$CRPT (… https://t.co/LvVBJoVtKd"
11,CoinMarketNews,DROP,,1,1168667447504908292,Today's top cryptocurrency gainers:  $DRG (20.34%) up $XMX (18.63%) up $FTM (14.87%) up $GRIN (14.21%) up $BEAM (…,2019-09-02 23:30:06,0,"Today's top cryptocurrency gainers: 
 
$DRG (20.34%) up
$XMX (18.63%) up
$FTM (14.87%) up
$GRIN (14.21%) up
$BEAM (… https://t.co/pLbgkrD82T"
13,Joe Gambiste,DROP,,0,1168307961980231680,   Today's top cryptocurrency gainers:  $UIP (105.77%) up $WIX (47.10%) up $WAN (23.18%) up $INO (20.45%) up $SNX (12.08…,2019-09-01 23:41:38,1,"RT @coinmarketnews: Today's top cryptocurrency gainers: 
 
$UIP (105.77%) up
$WIX (47.10%) up
$WAN (23.18%) up
$INO (20.45%) up
$SNX (12.08…"
14,CoinMarketNews,DROP,,1,1168305057684754432,Today's top cryptocurrency gainers:  $UIP (105.77%) up $WIX (47.10%) up $WAN (23.18%) up $INO (20.45%) up $SNX (1…,2019-09-01 23:30:06,1,"Today's top cryptocurrency gainers: 
 
$UIP (105.77%) up
$WIX (47.10%) up
$WAN (23.18%) up
$INO (20.45%) up
$SNX (1… https://t.co/Ahq2vLvOhG"
0,cryptonian,DROP,,2,1169880110209519616,Good to know   🤑🤑🤑                 currency  currencies…,2019-09-06 07:48:48,0,"Good to know #moon! 🤑🤑🤑

#btc #eth #xrp #ada #cardano #bitcoin #crypto #cryptocurrency #cryptocurrencies… https://t.co/yKKKHjLvm5"
1,webnow,DROP,,0,1169878788026429440,  The mid-day cryptocurrency market update uses data from CoinCodex — a full market overview can be found here.…,2019-09-06 07:43:33,0,#BTC The mid-day cryptocurrency market update uses data from CoinCodex — a full market overview can be found here.… https://t.co/9iTBiiPeKn
2,CryptoManiac_333,DROP,,0,1169772427037032449,Get Your Nexo Card Earlier   via    interested in earning interest on your CryptoC…,2019-09-06 00:40:54,0,Get Your Nexo Card Earlier https://t.co/d76EqHo7e3 via @NexoFinance  interested in earning interest on your CryptoC… https://t.co/ilSoWTDltf
3,Macalonzo@MHA67,DROP,,0,1169562601203916801,   IS NEXO SAFE for your Cryptocurrency?  CAN YOU MAKE MONEY?  Tune in with  ,2019-09-05 10:47:08,1,"RT @stephenchip: IS NEXO SAFE for your Cryptocurrency? 

CAN YOU MAKE MONEY? 

Tune in with @thehodlreview 

https://t.co/NEN7GjHCAV"
4,Berminal: Crypto News,DROP,,0,1169488370713550848,Nexo (NEXO) to Release Debit Card Allowing Holders to Use Their Crypto as a Line of Credit  …,2019-09-05 05:52:10,0,Nexo (NEXO) to Release Debit Card Allowing Holders to Use Their Crypto as a Line of Credit https://t.co/6ZhDfFzSr6… https://t.co/Y5NdJkf5IV
5,Chip – XRP Minute | OTC,DROP,,3,1169406362801102848,IS NEXO SAFE for your Cryptocurrency?  CAN YOU MAKE MONEY?  Tune in with  ,2019-09-05 00:26:18,1,"IS NEXO SAFE for your Cryptocurrency? 

CAN YOU MAKE MONEY? 

Tune in with @thehodlreview 

https://t.co/NEN7GjHCAV"
6,tareqalhamadeen,DROP,,0,1169336200857100292,   The latest Nexo video is out.🏆  👑Watch - Nexo Explained here 👉-        ,2019-09-04 19:47:30,1,"RT @Albu_Studio: The latest Nexo video is out.🏆

👑Watch - Nexo Explained here 👉- https://t.co/l939zKlCL0

#Nexo  #Albustudio #cryptocurrenc…"
7,Albu Studio,DROP,,1,1169315854393192448,The latest Nexo video is out.🏆  👑Watch - Nexo Explained here 👉-      ,2019-09-04 18:26:39,1,"The latest Nexo video is out.🏆

👑Watch - Nexo Explained here 👉- https://t.co/l939zKlCL0

#Nexo  #Albustudio… https://t.co/mL4H6ODsZk"
8,Coinhooked,DROP,,0,1169200821877321729,   View listing details now on: NEXO listed on Coinexchange       currency $N…,2019-09-04 10:49:33,2,"RT @coins_flare: View listing details now on: https://t.co/d3VPVO25Gv 
NEXO listed on Coinexchange @NexoFinance  #crypto #cryptocurrency $N…"
10,CoinsFlare,DROP,,22,1169106187868102657,View listing details now on: NEXO listed on Coinexchange       currency $NEXO,2019-09-04 04:33:30,2,"View listing details now on: https://t.co/d3VPVO25Gv 
NEXO listed on Coinexchange @NexoFinance  #crypto #cryptocurrency $NEXO"
11,Blockmanity,DROP,,0,1169097948291948547,     and   evolving    - a big ace for   player   in the   -   ,2019-09-04 04:00:46,2,RT @Michael4811: #Banking and #payments. evolving  #paymentsystems - a big ace for #global player #Mastercard in the #crypto -  #creditcard…
12,mark davison,DROP,,1,1168954502130688007,Will bcnex list nexo?   $BCNX              ,2019-09-03 18:30:46,0,Will bcnex list nexo? #Bcnex $BCNX #Cryptocurrency #Exchange #ICO #ETH #VotingCoin https://t.co/v2SP0I0j5f @Nghiemtructung
13,Topicktea,DROP,,0,1168864898614362112,"   Dwonload,join and singup ...                        ",2019-09-03 12:34:42,1,"RT @topicktea: Dwonload,join and singup ...
#staywithtopick @Curis_Wang
#cryptocurrency #moneycrypto #BTC #USDT #XRP #LTC #BTR #ETH #ETC #c…"
0,Coinhooked,DROP,,0,1169882626414395393,   currency  ,2019-09-06 07:58:48,0,"#Crypto #Cryptocurrency #Bitcoin
https://t.co/NuSYSVE6fJ"
