,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,488,566,972",$134.21,11091325,Low Vol,0.64%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$74,637,022",$4.35,17164230,Low Vol,0.80%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,PPC Peercoin,PPC,"$7,250,187",$0.386525,18757362,Low Vol,-0.93%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,NMC Namecoin,NMC,"$5,995,997",$1.11,5415300,Low Vol,-0.05%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,TRC Terracoin,TRC,"$1,503,099",$0.646892,2323570,Low Vol,0.61%,?,?,Add to Watchlist Remove from Watchlist  Watchlist full! View Chart View Markets View Historical Data
5,6,DVC Devcoin,DVC,"$1,424,087",$0.000326,4366620160,Low Vol,0.46%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,NVC Novacoin,NVC,"$1,162,266",$4.25,273706,Low Vol,2.14%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
