,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,126,642,500",$100.00,11266425,Low Vol,-2.04%,-8.00%,-16.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$43,858,289",$2.38,18404654,Low Vol,-1.66%,-7.44%,-11.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$3,311,798",$0.576000,5749650,Low Vol,-2.41%,-6.50%,-17.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$2,267,778",$0.118000,19218458,Low Vol,-1.20%,-1.33%,-20.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$953,098",$3.31,288381,Low Vol,-1.89%,-6.48%,-14.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,FTC Feathercoin,FTC,"$852,774",$0.126000,6768050,Low Vol,0.33%,17.16%,59.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,TRC Terracoin,TRC,"$556,762",$0.195000,2855190,Low Vol,-2.29%,-3.18%,-17.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DVC Devcoin,DVC,"$538,225",$0.000116,4639869952,Low Vol,-2.06%,-11.04%,-21.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,FRC Freicoin,FRC,"$344,284",$0.016129,21345628,Low Vol,-2.06%,-2.76%,-19.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,CNC CHNCoin,CNC,"$260,701",$0.051000,5111794,Low Vol,-1.28%,-3.96%,-8.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,BQC BBQCoin,BQC,"$98,890",$0.005300,18658570,Low Vol,-3.87%,-3.45%,27.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,YAC Yacoin,YAC,"$98,315",$0.030200,3255470,Low Vol,-4.95%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,DGC Digitalcoin,DGC,"$70,347",$0.039200,1794564,Low Vol,3.10%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,WDC WorldCoin,WDC,"$60,438",$0.012870,4696050,Low Vol,-2.27%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,BTB BitBar,BTB,"$45,586",$13.10,3479,Low Vol,-2.07%,-9.71%,-16.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,MNC Mincoin,MNC,"$44,972",$0.041100,1094217,Low Vol,-2.06%,-27.57%,-42.74%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,MEM Memecoin,MEM,"$14,866",$0.001715,8668150,Low Vol,-0.13%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,AMC AmericanCoin,AMC,"$4,150",$0.004178,993300,Low Vol,-2.57%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart  View Markets View Historical Data
18,19,FRK Franko,FRK,"$2,773",$0.150000,18485,Low Vol,-2.59%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,ELC Elacoin,ELC,$768,$0.036000,21337,Low Vol,-18.23%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
