,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,038,799,170",$90.76,11445900,Low Vol,0.48%,0.81%,-3.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$57,116,054",$2.92,19586904,Low Vol,0.88%,0.85%,0.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$2,962,846",$0.488274,6067993,Low Vol,0.06%,-2.71%,-8.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$2,753,788",$0.139766,19702806,Low Vol,0.48%,-6.31%,-10.69%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$1,204,790",$3.85,312791,Low Vol,0.64%,1.91%,-2.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,XPM Primecoin,XPM,"$1,168,855",$1.04,1119905,Low Vol,0.17%,16.19%,569.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,FTC Feathercoin,FTC,"$882,016",$0.080774,10919550,Low Vol,0.48%,0.82%,-2.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,TRC Terracoin,TRC,"$487,871",$0.149750,3257910,Low Vol,0.54%,-1.59%,-6.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,DVC Devcoin,DVC,"$254,345",$0.000052,4916620288,Low Vol,2.34%,3.96%,-25.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,FRC Freicoin,FRC,"$244,976",$0.010784,22717088,Low Vol,0.54%,-0.18%,-6.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,DGC Digitalcoin,DGC,"$170,031",$0.031810,5345141,Low Vol,-1.53%,-11.50%,-43.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,MEC Megacoin,MEC,"$161,426",$0.012321,13101500,Low Vol,12.28%,40.52%,151.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,WDC WorldCoin,WDC,"$145,792",$0.011798,12356888,Low Vol,1.52%,12.70%,18.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,PXC Phoenixcoin,PXC,"$126,116",$0.036939,3414150,Low Vol,-4.76%,-0.86%,49.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,YAC Yacoin,YAC,"$81,634",$0.017698,4612695,Low Vol,-1.93%,5.66%,-19.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,BQC BBQCoin,BQC,"$77,919",$0.003694,21094464,Low Vol,0.54%,0.08%,-13.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,CNC CHNCoin,CNC,"$62,014",$0.011798,5256114,Low Vol,0.54%,0.81%,26.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,FST Fastcoin,FST,"$55,913",$0.004533,12333824,Low Vol,-0.71%,-6.79%,142.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,IXC Ixcoin,IXC,"$55,740",$0.003904,"14,276,402 *",Low Vol,0.59%,13.68%,8.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,MNC Mincoin,MNC,"$46,707",$0.038897,1200783,Low Vol,0.48%,18.60%,71.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,FRK Franko,FRK,"$44,951",$1.07,41974,Low Vol,0.73%,-12.07%,456.66%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,ARG Argentum,ARG,"$31,939",$0.083950,380460,Low Vol,3.43%,0.91%,76.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,CAP Bottlecaps,CAP,"$24,485",$0.060735,403154,Low Vol,-7.48%,-14.57%,268.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,LKY Luckycoin,LKY,"$24,406",$0.004356,5602312,Low Vol,0.59%,2.84%,13.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,IFC Infinitecoin,IFC,"$23,301",$4e-07,57553715200,Low Vol,0.28%,-0.20%,7.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,BTB BitBar,BTB,"$22,134",$4.98,4442,Low Vol,0.59%,0.81%,28.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,ANC Anoncoin,ANC,"$20,857",$0.070337,296537,Low Vol,-0.06%,152.40%,150.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,GLC GoldCoin,GLC,"$15,997",$0.000726,22032950,Low Vol,0.68%,17.12%,82.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,BTG Bitgem,BTG,"$14,602",$0.816830,17876,Low Vol,-1.06%,1.38%,14.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,BTE Bytecoin,BTE,"$13,860",$0.015043,921400,Low Vol,-0.09%,4.91%,-15.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,CRC CraftCoin,CRC,"$13,490",$0.144759,93192,Low Vol,0.59%,3.87%,31.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,KGC Krugercoin,KGC,"$10,302",$0.001724,5974482,Low Vol,-4.59%,14.00%,-16.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,NRB Noirbits,NRB,"$8,880",$0.016015,554480,Low Vol,-5.65%,5.34%,255.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,ALF AlphaCoin,ALF,"$8,876",$0.001075,8253050,Low Vol,1.01%,11.11%,25.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,SBC StableCoin,SBC,"$6,945",$0.001997,3478455,Low Vol,43.08%,57.47%,46.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
