,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,288,693,216",$115.91,11118050,Low Vol,0.43%,2.97%,-13.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$62,298,217",$3.59,17348954,Low Vol,0.10%,2.87%,-16.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$6,290,543",$1.15,5465350,Low Vol,-1.19%,8.91%,1.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$5,718,446",$0.303684,18830240,Low Vol,0.31%,2.61%,-22.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,FTC Feathercoin,FTC,"$2,017,436",$0.313040,6444650,Low Vol,-12.81%,-29.71%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,FRC Freicoin,FRC,"$1,627,439",$0.081137,20057908,Low Vol,-14.89%,-23.15%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,TRC Terracoin,TRC,"$1,367,162",$0.567959,2407150,Low Vol,1.13%,-3.05%,-12.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DVC Devcoin,DVC,"$1,052,082",$0.000239,4406170112,Low Vol,0.63%,-12.41%,-27.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,NVC Novacoin,NVC,"$1,015,804",$3.69,275503,Low Vol,1.26%,5.17%,-11.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MNC Mincoin,MNC,"$118,657",$0.115910,1023701,Low Vol,0.31%,-60.48%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
