,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,080,918,190",$94.69,11415175,Low Vol,1.13%,-2.54%,26.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$56,527,626",$2.91,19438854,Low Vol,-0.83%,1.11%,11.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$3,241,516",$0.539741,6005693,Low Vol,2.86%,-1.36%,24.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$3,141,320",$0.160028,19629768,Low Vol,1.43%,8.77%,22.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$1,230,893",$3.98,309426,Low Vol,1.21%,-3.64%,41.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,FTC Feathercoin,FTC,"$825,730",$0.082381,10023250,Low Vol,-0.30%,-4.75%,10.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,TRC Terracoin,TRC,"$497,606",$0.156241,3184870,Low Vol,2.06%,-3.91%,-8.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DVC Devcoin,DVC,"$341,247",$0.000070,4869969920,Low Vol,1.23%,-5.68%,23.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,DGC Digitalcoin,DGC,"$268,641",$0.056283,4773045,Low Vol,0.14%,-4.72%,167.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,FRC Freicoin,FRC,"$257,105",$0.011363,22626586,Low Vol,3.81%,-10.03%,9.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,WDC WorldCoin,WDC,"$114,749",$0.010322,11116584,Low Vol,1.23%,-5.35%,79.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XPM Primecoin,XPM,"$112,816",$0.156241,722068,Low Vol,1.23%,-54.05%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,YAC Yacoin,YAC,"$98,606",$0.022631,4357090,Low Vol,1.23%,-0.30%,-9.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,BQC BBQCoin,BQC,"$92,091",$0.004450,20692356,Low Vol,0.89%,12.17%,37.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,PXC Phoenixcoin,PXC,"$70,514",$0.021926,3216050,Low Vol,-15.55%,-25.62%,84.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,MEC Megacoin,MEC,"$59,964",$0.004929,12166250,Low Vol,0.12%,-8.56%,53.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
