,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$11,379,661,042",$933.53,12189925,"$72,898,520",0.25%,8.36%,25.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$659,900,584",$26.83,24595942,"$29,995,030",-0.21%,6.49%,11.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$197,241,281",$0.025229,"7,817,889,792 *","$200,438",0.27%,-10.38%,-7.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$152,073,508",$7.23,21019558,"$5,371,518",-0.01%,-0.37%,70.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,OMNI Omni,OMNI,"$110,826,236",$178.90,"619,478 *","$53,876",0.14%,1.13%,0.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,NXT Nxt,NXT,"$63,360,014",$0.063360,"999,998,016 *","$282,060",-0.86%,-2.10%,19.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,NMC Namecoin,NMC,"$60,232,062",$7.84,7681043,"$3,727,008",0.24%,0.73%,57.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,PTS BitShares PTS,PTS,"$24,630,585",$19.31,"1,275,693 *","$54,439",-1.34%,?,-2.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,QRK Quark,QRK,"$21,670,928",$0.087714,247062160,"$195,178",1.25%,-6.83%,-19.96%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MEC Megacoin,MEC,"$18,931,094",$0.876491,21598724,"$25,981",1.25%,3.63%,2.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,WDC WorldCoin,WDC,"$18,084,856",$0.466774,38744324,"$165,159",0.14%,-0.91%,-5.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XPM Primecoin,XPM,"$17,268,335",$4.44,3886112,"$615,883",0.07%,0.13%,67.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,FTC Feathercoin,FTC,"$12,636,810",$0.438759,28801250,"$476,900",1.95%,3.89%,30.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NVC Novacoin,NVC,"$9,501,307",$17.33,548374,"$147,133",-0.66%,1.94%,26.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,IFC Infinitecoin,IFC,"$7,681,402",$0.000086,89468878848,"$46,989",-4.88%,1.87%,-20.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,DOGE Dogecoin,DOGE,"$5,883,638",$0.000271,21732997120,"$245,107",-1.69%,-11.05%,-39.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,NET NetCoin,NET,"$5,099,252",$0.026120,195222784,"$35,669",7.71%,11.54%,86.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,ZET Zetacoin,ZET,"$4,802,037",$0.030116,159453056,"$15,688",-8.79%,-14.34%,-17.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,DVC Devcoin,DVC,"$4,336,896",$0.000719,6033370112,"$10,676",-7.65%,-9.03%,13.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,DGC Digitalcoin,DGC,"$3,974,764",$0.330096,12041230,"$62,260",0.32%,19.93%,39.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,TIX Tickets,TIX,"$3,903,657",$0.000058,66876280832,"$20,083",3.37%,11.46%,165.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,ANC Anoncoin,ANC,"$3,770,794",$5.89,640445,"$27,111",-0.16%,-9.30%,27.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,TRC Terracoin,TRC,"$3,076,325",$0.634800,4846130,"$64,893",-0.17%,7.35%,35.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,FRC Freicoin,FRC,"$2,972,402",$0.084027,35374352,"$3,758",0.15%,-3.21%,13.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,CLR Copperlark,CLR,"$2,146,796",$0.382738,5609049,"$1,423",-5.38%,-9.17%,-12.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,IXC Ixcoin,IXC,"$2,137,451",$0.122292,"17,478,194 *","$13,922",-0.39%,1.30%,1.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,EAC EarthCoin,EAC,"$2,004,500",$0.003257,615427456,"$26,329",4.82%,-3.12%,5.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,CBX Bullion,CBX,"$1,910,952",$2.05,930594,"$9,073",-0.89%,-0.53%,-6.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,BQC BBQCoin,BQC,"$1,347,021",$0.044996,29936372,"$3,078",2.35%,-9.79%,0.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,GLC GoldCoin,GLC,"$1,287,005",$0.044100,29183810,"$5,605",0.67%,-11.88%,-19.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,FST Fastcoin,FST,"$1,070,421",$0.021471,49853812,"$23,223",3.12%,-2.94%,0.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,ASC AsicCoin,ASC,"$1,015,166",$0.002653,382599904,"$39,317",1.44%,-21.26%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,MMC Memorycoin,MMC,"$1,000,472",$0.466812,2143203,"$16,889",3.01%,-4.05%,-17.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,MNC Mincoin,MNC,"$971,067",$0.643221,1509695,"$5,497",-1.71%,-13.69%,73.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,I0C I0Coin,I0C,"$899,740",$0.044809,20079246,"$1,108",0.25%,34.01%,64.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,DEM Deutsche eMark,DEM,"$871,978",$0.281861,3093650,"$15,411",4.78%,23.99%,-8.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,TAG TagCoin,TAG,"$823,765",$1.28,644620,"$21,056",8.84%,48.55%,81.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,SXC Sexcoin,SXC,"$818,203",$0.015980,51200424,"$18,596",-0.19%,?,-27.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,SBC StableCoin,SBC,"$797,310",$0.086958,9168880,"$14,268",-0.09%,-2.72%,-7.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,FLO FLO,FLO,"$789,259",$0.021204,37222700,"$9,727",0.45%,7.89%,2.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,UNO Unobtanium,UNO,"$758,125",$6.37,118990,"$16,004",20.36%,5.08%,6.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,JKC Junkcoin,JKC,"$729,639",$0.073030,9991000,"$15,479",0.45%,-11.96%,-28.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,DTC Datacoin,DTC,"$706,626",$0.414459,1704935,"$4,837",2.62%,2.14%,-12.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,LOT LottoCoin,LOT,"$685,597",$0.000224,3060056832,"$84,894",-1.51%,6.49%,11.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
