,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$4,785,248,774",$351.63,13608675,"$12,415,222",0.25%,1.35%,-6.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$528,898,094",$0.017127,"30,881,360,458 *","$431,814",-0.01%,0.90%,16.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$120,836,171",$3.48,34718204,"$1,547,548",0.07%,0.13%,-6.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BTS BitShares,BTS,"$43,226,635",$0.017305,"2,497,973,773 *","$64,658",0.01%,0.86%,-2.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,MAID MaidSafeCoin,MAID,"$23,620,139",$0.052193,"452,552,412 *","$4,150",0.55%,3.39%,-4.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$18,946,397",$0.000196,96807100633,"$452,219",0.34%,-3.24%,-14.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,NXT Nxt,NXT,"$16,782,563",$0.016783,"999,997,096 *","$23,228",-0.58%,-0.81%,-12.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,PPC Peercoin,PPC,"$14,620,113",$0.666477,21936395,"$21,462",0.37%,0.97%,-7.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XCP Counterparty,XCP,"$11,143,383",$4.21,"2,646,719 *","$12,532",0.02%,-3.22%,-22.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,DASH Dash,DASH,"$11,065,102",$2.24,4944218,"$29,243",0.40%,0.32%,-5.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,NMC Namecoin,NMC,"$9,143,174",$0.871837,10487250,"$11,240",0.07%,0.47%,-2.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XLM Stellar,XLM,"$8,782,883",$0.002475,"3,548,123,375 *","$27,160",0.50%,-1.83%,5.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,FC2 FuelCoin,FC2,"$6,275,443",$0.062691,100101526,"$7,084",0.52%,-2.59%,-10.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NSR NuShares,NSR,"$3,783,933",$0.006251,"605,298,177 *","$19,530",0.25%,3.37%,-14.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,UNITY SuperNET,UNITY,"$3,163,621",$3.88,"816,061 *","$6,512",-0.29%,0.95%,-5.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,BANX Banx,BANX,"$2,728,891",$1.05,"2,586,882 *","$5,405",0.25%,1.35%,-5.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,YBC YbCoin,YBC,"$2,670,654",$0.890218,"3,000,000 *","$31,081",0.17%,1.78%,31.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,BTCD BitcoinDark,BTCD,"$2,350,358",$1.97,1195586,"$5,034",2.87%,4.41%,-4.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,USNBT NuBits,USNBT,"$2,210,835",$0.984505,"2,245,632 *","$55,954",0.18%,-1.76%,-1.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
