,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$8,154,263,416",$626.50,13015650,"$11,291,026",-0.02%,-1.02%,-1.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC  Litecoin,LTC,"$268,580,841",$8.90,30184704,"$5,485,689",-0.35%,3.38%,25.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NXT Nxt,NXT,"$43,748,901",$0.043749,"999,997,120 *","$221,112",-0.03%,-6.36%,-16.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,XRP XRP,XRP,"$33,667,395",$0.004306,"7,817,888,768 *","$64,623",0.05%,-0.22%,50.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,PPC Peercoin,PPC,"$31,007,652",$1.44,21554966,"$160,564",-0.10%,0.00%,-6.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DASH Dash,DASH,"$28,387,009",$6.35,4466913,"$189,565",0.18%,-3.11%,-1.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DOGE Dogecoin,DOGE,"$23,560,797",$0.000270,87158456320,"$287,834",-0.87%,-0.45%,19.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NMC Namecoin,NMC,"$17,590,161",$1.88,9339100,"$130,088",0.16%,-0.45%,5.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,MAID MaidSafeCoin,MAID,"$12,357,437",$0.027306,"452,552,416 *","$14,571",0.81%,-14.00%,31.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,BLK BlackCoin,BLK,"$8,449,435",$0.113238,"74,616,736 *","$92,778",-0.23%,-4.93%,-12.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,OMNI Omni,OMNI,"$8,152,274",$14.48,"563,162 *","$1,675",0.33%,1.16%,-22.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,PTS BitShares PTS,PTS,"$7,671,335",$4.65,"1,650,617 *","$28,897",-0.05%,-2.08%,2.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,VRC VeriCoin,VRC,"$6,599,574",$0.246344,26790056,"$347,425",0.32%,6.40%,9.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,XCP Counterparty,XCP,"$6,263,945",$2.36,"2,649,067 *","$6,917",-0.21%,-3.16%,-6.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,XC XCurrency,XC,"$6,192,756",$1.12,"5,516,591 *","$89,866",-2.38%,3.07%,-37.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
