,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$75,812,212,996",$4582.96,16542187,"$1,933,192,064",0.19%,0.30%,5.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$32,807,154,396",$347.48,94413389,"$986,265,728",0.42%,0.25%,1.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,BCH Bitcoin Cash,BCH,"$10,058,458,983",$607.43,16558963,"$344,861,920",2.26%,5.43%,-1.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,XRP XRP,XRP,"$8,773,480,075",$0.228811,"38,343,841,883 *","$186,525,744",0.38%,1.40%,13.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,LTC Litecoin,LTC,"$4,054,988,820",$76.84,52769807,"$675,462,336",-0.87%,-1.99%,23.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,XEM NEM,XEM,"$2,765,377,074",$0.307264,"8,999,999,999 *","$7,413,995",0.79%,2.83%,11.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DASH Dash,DASH,"$2,685,795,201",$356.39,7536105,"$34,945,240",0.25%,1.80%,-2.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,MIOTA IOTA,MIOTA,"$2,067,881,448",$0.743968,"2,779,530,283 *","$29,504,558",-0.17%,6.37%,-18.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XMR Monero,XMR,"$1,894,074,688",$126.01,15031671,"$92,631,120",0.75%,0.80%,-5.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,ETC Ethereum Classic,ETC,"$1,767,289,072",$18.57,95171368,"$221,986,096",-1.31%,-5.79%,15.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,NEO NEO,NEO,"$1,515,941,429",$30.32,"50,000,000 *","$43,232,264",0.83%,-3.68%,-21.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,OMG OmiseGO,OMG,"$1,039,044,898",$10.57,"98,312,024 *","$68,616,808",-0.75%,-0.92%,25.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,QTUM Qtum,QTUM,"$902,192,316",$15.29,"59,000,000 *","$98,105,360",-2.97%,-6.35%,-1.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,BCC BitConnect,BCC,"$862,984,959",$130.99,6588424,"$5,244,494",-0.10%,-0.19%,13.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,LSK Lisk,LSK,"$790,981,248",$7.08,"111,773,370 *","$18,028,672",-0.10%,4.31%,6.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,HC HyperCash,HC,"$700,440,363",$20.85,33600000,"$60,751,092",-4.86%,-27.01%,-47.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,STRAT Stratis,STRAT,"$649,130,440",$6.59,"98,529,111 *","$8,487,741",0.56%,3.92%,-6.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,ZEC Zcash,ZEC,"$547,669,313",$260.09,2105719,"$34,128,884",0.22%,1.98%,-4.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,WAVES Waves,WAVES,"$519,635,487",$5.20,"100,000,000 *","$5,174,782",0.07%,-0.98%,-0.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,EOS EOS,EOS,"$407,130,155",$1.25,"325,259,619 *","$22,618,566",1.18%,2.24%,-6.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,BCN Bytecoin,BCN,"$399,750,555",$0.002181,183253534612,"$3,397,463",-1.71%,7.71%,49.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,PAY TenX,PAY,"$369,588,570",$3.53,"104,661,310 *","$13,884,952",-0.75%,-1.17%,-2.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,BTS BitShares,BTS,"$367,578,196",$0.141440,"2,598,820,000 *","$16,930,514",-0.27%,-4.45%,3.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,USDT Tether,USDT,"$364,811,405",$1.00,"363,998,283 *","$188,687,056",-0.21%,-1.44%,0.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,XLM Stellar,XLM,"$353,238,952",$0.021296,"16,586,874,002 *","$2,524,130",0.11%,1.80%,7.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,STEEM Steem,STEEM,"$334,274,821",$1.39,"240,254,938 *","$873,348",2.19%,3.12%,-1.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,KMD Komodo,KMD,"$307,659,806",$3.05,100945510,"$29,353,732",5.79%,54.63%,102.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,MAID MaidSafeCoin,MAID,"$305,883,108",$0.675906,"452,552,412 *","$2,428,927",0.40%,1.86%,12.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,GNT Golem,GNT,"$301,013,829",$0.361347,"833,032,000 *","$4,172,790",2.44%,9.24%,17.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,REP Augur,REP,"$274,022,104",$24.91,"11,000,000 *","$2,046,420",1.11%,2.14%,-10.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,MCAP MCAP,MCAP,"$263,770,917",$2.87,"92,016,971 *","$2,654,653",-6.42%,-5.80%,77.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,ARK Ark,ARK,"$249,550,041",$2.56,"97,326,404 *","$2,255,028",-1.35%,8.07%,36.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,ICN Iconomi,ICN,"$247,963,922",$2.48,"99,900,350 *","$745,142",1.58%,-0.52%,-6.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,SC Siacoin,SC,"$245,473,138",$0.008434,29105329044,"$7,069,162",0.83%,1.37%,9.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,FCT Factom,FCT,"$241,706,124",$27.64,"8,745,102 *","$2,736,899",1.22%,0.52%,-6.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,BAT Basic Attenti...,BAT,"$241,242,200",$0.241242,"1,000,000,000 *","$3,681,778",0.15%,-1.26%,14.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,DOGE Dogecoin,DOGE,"$238,764,513",$0.002153,110922445572,"$8,700,779",-0.38%,-3.02%,21.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,DGB DigiByte,DGB,"$221,378,980",$0.025323,8742253657,"$16,744,754",-3.24%,13.89%,88.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,MTL Metal,MTL,"$212,991,123",$11.04,"19,300,994 *","$2,574,298",0.81%,0.90%,10.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,DCR Decred,DCR,"$208,035,061",$36.64,5678462,"$646,133",-2.18%,1.53%,-10.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,VERI Veritaseum,VERI,"$199,482,804",$99.19,"2,011,134 *","$616,404",-0.87%,-0.13%,-3.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,PIVX PIVX,PIVX,"$196,879,215",$3.63,"54,199,749 *","$1,463,694",1.72%,6.44%,22.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,GBYTE Obyte,GBYTE,"$193,276,988",$367.22,"526,327 *","$668,330",0.40%,-0.34%,-21.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,GNO Gnosis,GNO,"$189,566,646",$171.62,"1,104,590 *","$502,413",0.65%,1.05%,-17.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,DGD DigixDAO,DGD,"$183,001,068",$91.50,"2,000,000 *","$531,397",0.33%,6.56%,-4.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,NXS Nexus,NXS,"$171,090,678",$3.28,52160644,"$1,776,915",-2.75%,21.40%,76.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,PPT Populous,PPT,"$158,948,274",$3.85,"41,252,246 *","$565,324",-0.54%,3.04%,1.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
47,48,BNB Binance Coin,BNB,"$157,579,637",$1.58,"100,000,000 *","$11,662,043",-0.29%,-16.86%,-24.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
48,49,BTCD BitcoinDark,BTCD,"$153,735,785",$119.28,1288862,"$3,290,189",7.40%,59.05%,98.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
49,50,CVC Civic,CVC,"$147,764,302",$0.434601,"340,000,000 *","$2,665,586",0.76%,-0.17%,-15.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
50,51,ZRX 0x,ZRX,"$143,957,376",$0.287915,"500,000,000 *","$4,038,541",0.11%,-7.79%,-17.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
51,52,ARDR Ardor,ARDR,"$140,218,048",$0.140358,"998,999,495 *","$826,290",-0.21%,-0.24%,1.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
52,53,SNT Status,SNT,"$136,469,841",$0.039323,"3,470,483,788 *","$6,754,998",-1.65%,-4.18%,-22.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
53,54,GAME GameCredits,GAME,"$135,983,893",$2.12,64048536,"$1,430,667",0.79%,0.35%,-7.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
54,55,MCO Crypto.com,MCO,"$124,987,930",$12.73,"9,814,825 *","$23,571,926",-0.61%,39.48%,-20.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
55,56,BLOCK Blocknet,BLOCK,"$120,355,515",$28.67,"4,197,755 *","$220,531",-4.38%,-1.59%,7.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
56,57,FUN FunFair,FUN,"$116,712,783",$0.030398,"3,839,463,249 *","$497,969",0.24%,-4.99%,18.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
57,58,SYS Syscoin,SYS,"$115,692,488",$0.219417,527272384,"$2,773,858",0.96%,16.27%,50.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
58,59,GXC GXChain,GXC,"$111,211,632",$2.75,"40,510,000 *","$9,183,785",0.38%,-8.00%,-25.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
59,60,GAS Gas,GAS,"$107,757,737",$12.99,"8,293,993 *","$503,554",-1.58%,-10.08%,-32.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
60,61,NXT Nxt,NXT,"$106,604,558",$0.106711,"998,999,942 *","$4,642,684",0.63%,-0.62%,-5.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
61,62,PART Particl,PART,"$92,492,714",$12.03,"7,691,646 *","$186,201",0.22%,0.07%,27.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
62,63,LKK Lykke,LKK,"$91,414,003",$0.342365,"267,007,188 *","$509,399",0.25%,2.64%,-2.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
63,64,NAV NavCoin,NAV,"$90,633,354",$1.47,"61,720,930 *","$15,966,691",2.14%,5.98%,285.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
64,65,UBQ Ubiq,UBQ,"$90,306,159",$2.39,37840538,"$990,877",1.43%,-3.58%,10.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
65,66,ANT Aragon,ANT,"$85,214,694",$2.58,"33,015,659 *","$382,014",-0.07%,1.96%,-8.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
66,67,BNT Bancor,BNT,"$85,150,629",$2.84,"29,931,066 *","$1,272,445",0.01%,0.05%,-4.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
67,68,NLC2 NoLimitCoin,NLC2,"$82,006,334",$0.403065,"203,456,938 *","$292,287",1.77%,2.06%,17.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
68,69,SNGLS SingularDTV,SNGLS,"$81,195,849",$0.135326,"600,000,000 *","$581,265",0.15%,-3.98%,-5.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
69,70,XVG Verge,XVG,"$76,764,915",$0.005725,13409472280,"$6,188,563",1.61%,14.68%,71.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
