,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$4,813,284,494",$325.43,14790500,"$37,001,108",0.05%,3.36%,13.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$170,183,390",$3.96,42983185,"$3,801,480",-0.41%,3.84%,28.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$162,511,634",$0.004901,"33,156,211,683 *","$490,105",0.11%,4.53%,6.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,ETH Ethereum,ETH,"$78,530,176",$1.06,74389025,"$588,913",-0.10%,15.73%,65.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DASH Dash,DASH,"$15,842,370",$2.66,5947516,"$79,513",-2.73%,16.11%,20.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$14,362,088",$0.000141,101633622633,"$65,837",1.46%,2.88%,22.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,BTS BitShares,BTS,"$10,921,897",$0.004348,"2,511,953,117 *","$86,421",0.51%,2.54%,15.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XLM Stellar,XLM,"$10,294,793",$0.002128,"4,837,356,606 *","$10,484",-0.53%,-2.06%,12.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,PPC Peercoin,PPC,"$8,677,781",$0.381693,22734964,"$37,131",-1.76%,-2.97%,6.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,NXT Nxt,NXT,"$7,624,971",$0.007625,"999,997,096 *","$12,105",0.14%,4.11%,3.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MAID MaidSafeCoin,MAID,"$7,370,540",$0.016287,"452,552,412 *","$21,400",0.99%,6.53%,15.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,TRMB TRMB,TRMB,"$6,482,570",$0.158288,"40,954,281 *","$36,345",0.00%,0.13%,0.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,BCN Bytecoin,BCN,"$6,323,254",$0.000036,177162046571,$561,-0.17%,3.93%,6.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NMC Namecoin,NMC,"$5,038,320",$0.393731,12796350,"$13,505",0.00%,1.59%,11.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,XMR Monero,XMR,"$4,187,539",$0.423505,9887803,"$27,613",0.69%,3.99%,3.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,GRC GridCoin,GRC,"$3,778,434",$0.010234,369215546,"$9,371",0.74%,4.18%,17.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,XCP Counterparty,XCP,"$2,832,257",$1.07,"2,637,242 *","$12,966",-6.48%,11.92%,40.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,DGB DigiByte,DGB,"$2,174,010",$0.000412,5273605102,"$28,592",-0.22%,27.36%,70.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,YBC YbCoin,YBC,"$2,128,245",$0.709415,"3,000,000 *","$52,519",0.70%,0.05%,19.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,BLK BlackCoin,BLK,"$2,072,928",$0.027616,"75,061,583 *","$11,550",0.01%,5.43%,4.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,RBY Rubycoin,RBY,"$1,940,451",$0.086837,"22,345,900 *","$2,113",3.19%,-2.21%,37.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,MONA MonaCoin,MONA,"$1,659,581",$0.068774,24130950,"$2,593",0.14%,5.04%,-6.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,EMC Emercoin,EMC,"$1,582,706",$0.043486,36396093,"$1,571",0.10%,0.27%,48.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,NOTE DNotes,NOTE,"$1,374,199",$0.013062,105203284,$918,0.01%,1.77%,24.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,XEM NEM,XEM,"$1,348,487",$0.000150,"8,999,999,999 *",$950,0.05%,0.60%,25.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,NVC Novacoin,NVC,"$1,205,628",$1.00,1203241,"$3,526",0.16%,0.33%,11.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,FCT Factom,FCT,"$1,162,135",$0.132714,"8,756,684 *","$1,786",0.03%,15.77%,-10.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,NEU NeuCoin,NEU,"$1,134,077",$0.007909,"143,399,041 *","$2,103",1.25%,-1.26%,22.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,START Startcoin,START,"$1,067,426",$0.031399,33996080,"$2,708",1.26%,-1.48%,-1.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,BTCD BitcoinDark,BTCD,"$1,059,677",$0.854708,1239812,"$1,510",0.12%,4.72%,-14.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,GAME GameCredits,GAME,"$873,840",$0.016987,51441369,"$1,014",-0.92%,-13.58%,13.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,XPM Primecoin,XPM,"$819,010",$0.067623,12111412,"$17,355",-2.08%,-2.00%,13.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,SDC ShadowCash,SDC,"$792,612",$0.121975,"6,498,168 *",$933,2.67%,3.06%,10.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,CSC  CasinoCoin,CSC,"$785,227",$0.023541,"33,356,215 *","$3,398",-1.56%,6.92%,23.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,CLAM  Clams,CLAM,"$710,670",$0.658316,"1,079,528 *","$3,254",-0.87%,1.94%,-4.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,VTC Vertcoin,VTC,"$651,005",$0.032936,19765650,"$2,678",0.44%,-5.76%,10.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,SJCX  Storjcoin X,SJCX,"$637,564",$0.014303,"44,575,870 *","$3,029",-0.87%,3.36%,2.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,XDN  DigitalNote,XDN,"$590,008",$0.000086,6849088091,"$4,968",-5.85%,0.37%,-3.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,USNBT NuBits,USNBT,"$582,802",$0.993368,"586,693 *","$26,647",0.01%,-0.52%,-0.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,WDC WorldCoin,WDC,"$572,029",$0.006245,91593453,"$4,880",-0.38%,0.70%,11.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,MEC Megacoin,MEC,"$507,874",$0.016354,31055075,"$5,847",-0.71%,3.24%,25.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,NLG  Gulden,NLG,"$501,767",$0.001772,283195499,"$1,826",14.27%,20.56%,-1.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,XPY  PayCoin,XPY,"$500,603",$0.030919,16190695,"$1,101",-0.22%,-2.22%,-15.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,VASH  VPNCoin,VASH,"$492,935",$0.001232,"400,264,119 *","$3,115",0.00%,-1.03%,9.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,IFC Infinitecoin,IFC,"$485,775",$0.000005,90596274910,"$3,751",4.04%,3.72%,30.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,NAUT NautilusCoin,NAUT,"$472,371",$0.081134,"5,822,099 *",$714,2.32%,11.07%,-35.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
