,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$4,897,967,439",$363.26,13483200,"$24,205,562",1.04%,5.11%,10.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$142,804,290",$0.004926,"28,989,252,282 *","$240,824",0.12%,0.40%,4.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$122,264,066",$3.63,33668005,"$1,873,830",0.21%,2.10%,0.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BTS BitShares,BTS,"$40,274,673",$0.020139,"1,999,883,512 *","$178,511",1.87%,-2.07%,19.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DOGE Dogecoin,DOGE,"$20,888,044",$0.000219,95317851277,"$236,149",1.09%,1.05%,-2.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,NXT Nxt,NXT,"$20,523,177",$0.020523,"999,997,096 *","$32,795",-0.06%,3.73%,8.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,PPC Peercoin,PPC,"$17,540,560",$0.802307,21862652,"$76,221",0.72%,6.51%,6.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DASH Dash,DASH,"$14,489,432",$2.99,4843911,"$375,396",2.26%,9.46%,76.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XCP Counterparty,XCP,"$13,902,045",$5.25,"2,647,116 *","$36,194",0.09%,10.81%,42.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MAID MaidSafeCoin,MAID,"$11,160,129",$0.024660,"452,552,412 *","$6,318",-0.92%,5.17%,14.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,NMC Namecoin,NMC,"$9,278,340",$0.906243,10238250,"$22,379",0.47%,4.13%,5.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XLM Stellar,XLM,"$6,159,901",$0.001757,"3,506,765,225 *","$12,705",1.60%,1.17%,10.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XMR Monero,XMR,"$3,268,076",$0.721369,4530378,"$44,247",1.48%,11.33%,24.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,UNITY SuperNET,UNITY,"$3,187,798",$3.91,"816,061 *","$24,635",1.59%,17.66%,37.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,NSR NuShares,NSR,"$2,709,943",$0.005725,"473,349,057 *","$5,460",1.06%,8.43%,105.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,BLK BlackCoin,BLK,"$2,616,758",$0.035026,"74,708,414 *","$85,171",-0.09%,6.45%,14.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,BTCD BitcoinDark,BTCD,"$2,546,978",$2.14,1191149,"$12,381",6.82%,6.36%,20.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,NXTTY Nxttycoin,NXTTY,"$2,329,557",$0.002330,"1,000,000,000 *","$1,947",-0.14%,-3.31%,-4.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,USNBT NuBits,USNBT,"$2,262,005",$1.01,"2,240,455 *","$103,561",0.97%,0.76%,0.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,BANX Banx,BANX,"$2,023,290",$0.782135,"2,586,882 *","$1,750",1.01%,37.68%,37.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,NXTV NXTventure,NXTV,"$1,723,949",$1.72,"1,000,000 *",$784,-0.20%,-12.89%,28.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,YBC YbCoin,YBC,"$1,572,471",$0.700686,"2,244,188 *","$43,782",-0.34%,5.68%,53.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,FC2 FuelCoin,FC2,"$1,531,095",$0.019119,80084093,"$10,487",1.16%,2.98%,163.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,FTC Feathercoin,FTC,"$1,530,842",$0.025247,60634290,"$7,686",-0.03%,2.48%,-5.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
