,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$3,940,580,866",$273.61,14401975,"$15,332,509",0.02%,-0.39%,-11.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$258,180,320",$0.008091,"31,908,551,587 *","$85,865",0.88%,0.48%,-5.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$154,157,235",$3.77,40932742,"$4,693,258",1.39%,-5.55%,-26.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$20,242,257",$3.62,5591980,"$66,114",-0.36%,-1.64%,-11.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DOGE Dogecoin,DOGE,"$16,913,520",$0.000169,100243254322,"$158,401",0.89%,-4.79%,-19.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,XLM Stellar,XLM,"$13,884,813",$0.002870,"4,837,356,606 *","$2,580",-0.31%,-0.92%,-8.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,BTS BitShares,BTS,"$13,026,220",$0.005186,"2,511,953,117 *","$39,701",-0.25%,5.08%,-17.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NXT Nxt,NXT,"$12,650,219",$0.012650,"999,997,096 *","$30,460",-0.32%,-0.61%,-13.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,BANX Banx,BANX,"$12,640,247",$1.83,"6,888,504 *","$7,111",-0.03%,-0.44%,-11.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MAID MaidSafeCoin,MAID,"$12,359,857",$0.027311,"452,552,412 *","$6,197",-0.07%,-2.05%,-5.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,PPC Peercoin,PPC,"$11,483,239",$0.510448,22496378,"$54,673",-0.64%,-2.21%,-25.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,BCN Bytecoin,BCN,"$8,783,658",$0.000050,174740904263,"$4,441",1.49%,-1.78%,5.69%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
