,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
30,31,SC Siacoin,SC,"$990,394,991",$0.029034,34111033475,"$84,785,288",-0.57%,-2.05%,51.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,PPT Populous,PPT,"$972,063,760",$26.27,"37,004,027 *","$6,599,551",0.68%,9.26%,0.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,BCN Bytecoin,BCN,"$965,845,010",$0.005253,183864590772,"$7,443,292",-0.74%,-7.75%,8.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,WAN Wanchain,WAN,"$901,784,040",$8.50,"106,152,493 *","$20,215,238",-0.11%,-1.55%,32.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,BTS BitShares,BTS,"$896,421,201",$0.342130,"2,620,120,000 *","$63,487,856",-0.76%,21.76%,28.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,BCD Bitcoin Diamond,BCD,"$866,177,113",$5.65,153370750,"$15,170,850",-1.77%,-5.27%,27.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,ZIL Zilliqa,ZIL,"$828,782,125",$0.113781,7284013186,"$46,513,996",2.12%,7.45%,11.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,BTCP Bitcoin Private,BTCP,"$711,419,878",$34.84,20419703,"$1,125,860",-0.38%,-4.97%,-34.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,STRAT Stratis,STRAT,"$707,188,828",$7.16,"98,836,280 *","$51,352,132",0.22%,10.30%,22.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,WAVES Waves,WAVES,"$701,146,889",$7.01,"100,000,000 *","$124,324,408",-0.69%,6.37%,33.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,ZRX 0x,ZRX,"$679,378,549",$1.29,"525,371,545 *","$15,139,943",0.61%,7.47%,28.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,MKR Maker,MKR,"$664,738,014",$1075.23,"618,228 *","$601,462",0.74%,0.91%,15.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
