,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$21,975,158,882",$1347.89,16303337,"$413,115,296",0.27%,1.96%,11.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$7,206,674,282",$79.02,91199196,"$229,944,656",2.23%,14.55%,61.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$1,955,141,864",$0.051607,"37,884,902,021 *","$41,974,204",-0.06%,-4.63%,66.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,LTC Litecoin,LTC,"$799,087,242",$15.71,50879132,"$43,929,132",-0.33%,0.21%,13.69%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DASH Dash,DASH,"$664,882,750",$91.55,7262717,"$19,963,328",0.68%,-3.63%,32.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,ETC Ethereum Classic,ETC,"$594,208,137",$6.52,91187235,"$82,888,200",0.30%,20.65%,82.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XEM NEM,XEM,"$458,693,314",$0.050966,"8,999,999,999 *","$4,804,864",1.01%,5.48%,63.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XMR Monero,XMR,"$341,259,568",$23.72,14384476,"$10,910,042",0.64%,3.55%,19.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,REP Augur,REP,"$184,619,724",$16.78,"11,000,000 *","$4,509,704",-0.16%,0.40%,42.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,GNT Golem,GNT,"$180,337,780",$0.219924,"820,000,000 *","$19,947,032",-0.38%,29.69%,126.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MAID MaidSafeCoin,MAID,"$114,767,522",$0.253601,"452,552,412 *","$1,387,472",-2.66%,-3.19%,8.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,ZEC Zcash,ZEC,"$112,048,490",$93.20,1202206,"$11,989,335",-0.78%,-3.38%,39.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,PIVX PIVX,PIVX,"$89,735,754",$1.69,"53,196,085 *","$2,065,686",-1.79%,-1.11%,31.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,DOGE Dogecoin,DOGE,"$81,479,210",$0.000746,109175371038,"$3,614,183",0.92%,1.21%,45.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,DCR Decred,DCR,"$75,931,696",$15.85,4790092,"$1,326,059",0.03%,1.65%,-5.55%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,STRAT Stratis,STRAT,"$72,057,104",$0.732536,"98,366,676 *","$1,610,266",-0.48%,0.98%,22.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,FCT Factom,FCT,"$70,755,426",$8.08,"8,753,219 *","$2,639,497",-0.50%,0.27%,22.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,SNGLS SingularDTV,SNGLS,"$66,733,213",$0.111222,"600,000,000 *","$357,012",5.69%,26.70%,83.69%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,STEEM Steem,STEEM,"$65,374,702",$0.277944,"235,208,205 *","$915,711",-0.64%,-5.06%,23.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
