,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$7,813,285,930",$602.72,12963475,"$8,897,472",-0.03%,0.75%,0.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$266,478,960",$8.96,29748054,"$2,181,068",-0.07%,-2.68%,-8.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NXT Nxt,NXT,"$57,250,328",$0.057250,"999,996,992 *","$115,533",1.51%,2.12%,-13.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$40,861,688",$9.23,4426671,"$262,898",0.73%,-3.75%,-3.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,XRP XRP,XRP,"$31,372,373",$0.004013,"7,817,889,792 *","$13,533",-0.39%,2.02%,-3.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,PPC Peercoin,PPC,"$30,655,445",$1.42,21519564,"$38,044",0.13%,-0.60%,-17.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DOGE Dogecoin,DOGE,"$22,979,347",$0.000271,84949704704,"$248,181",0.08%,-1.62%,-20.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NMC Namecoin,NMC,"$15,251,349",$1.67,9147332,"$39,808",-0.35%,-1.51%,-18.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,BLK BlackCoin,BLK,"$9,606,418",$0.128809,"74,578,992 *","$89,833",-0.28%,-2.60%,-2.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,BCN Bytecoin,BCN,"$8,488,301",$0.000054,156594929664,"$2,763",-0.11%,0.67%,-31.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,OMNI Omni,OMNI,"$8,285,434",$13.37,"619,478 *","$2,244",-0.04%,-1.92%,-17.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
