,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$11,974,381,018",$763.78,15677775,"$136,185,152",-0.05%,1.14%,13.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$993,284,255",$12.23,81189099,"$69,783,648",-1.84%,9.77%,-21.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$259,003,953",$5.59,46302126,"$3,760,240",-0.37%,0.66%,3.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,XRP XRP,XRP,"$239,176,028",$0.006813,"35,108,326,973 *","$2,413,107",0.10%,3.36%,16.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DAO The DAO,DAO,"$92,825,624",$0.079150,"1,172,775,159 *","$5,215,782",-3.88%,10.66%,-45.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DASH Dash,DASH,"$52,191,422",$7.99,6532723,"$556,704",-0.16%,-2.50%,3.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XEM NEM,XEM,"$45,039,658",$0.005004,"8,999,999,999 *","$2,144,126",2.86%,63.92%,138.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,LSK Lisk,LSK,"$36,306,253",$0.363063,"100,000,000 *","$1,392,136",-2.00%,1.53%,-14.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,DOGE Dogecoin,DOGE,"$35,437,171",$0.000338,104821206310,"$442,660",0.66%,4.76%,24.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MAID MaidSafeCoin,MAID,"$31,700,528",$0.070048,"452,552,412 *","$195,570",-0.75%,-1.67%,34.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,DGD DigixDAO,DGD,"$23,768,402",$11.88,"2,000,000 *","$172,812",2.75%,-5.50%,2.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XMR Monero,XMR,"$22,802,670",$1.87,12191371,"$663,871",-0.02%,-7.10%,48.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,STEEM Steem,STEEM,"$20,068,855",$0.335555,"59,807,970 *","$3,845",-0.94%,10.11%,-14.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,SC Siacoin,SC,"$14,358,097",$0.000939,15284464995,"$586,536",-0.04%,12.77%,62.69%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,AMP HyperSpace,AMP,"$12,333,893",$0.066742,"184,800,000 *","$70,686",-0.97%,10.90%,61.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,PPC Peercoin,PPC,"$10,948,187",$0.470971,23245966,"$129,262",-0.12%,2.85%,21.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,BTS BitShares,BTS,"$10,687,116",$0.004170,"2,562,960,000 *","$460,992",-0.89%,5.72%,7.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,FCT Factom,FCT,"$10,410,275",$1.19,"8,753,219 *","$1,337,127",-0.45%,-17.65%,21.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,XLM Stellar,XLM,"$10,046,622",$0.001831,"5,485,679,598 *","$57,599",1.83%,4.17%,12.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,NXT Nxt,NXT,"$9,749,380",$0.009759,"999,000,000 *","$221,846",-2.49%,15.10%,27.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,TIPS FedoraCoin,TIPS,"$8,409,151",$0.000020,426274278218,"$4,617",0.03%,-5.22%,-22.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,NMC Namecoin,NMC,"$6,784,561",$0.465813,14565000,"$65,766",-1.38%,1.99%,22.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,YBC YbCoin,YBC,"$6,377,651",$2.12,"3,010,498 *","$159,208",-0.24%,0.88%,-3.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,SLR SolarCoin,SLR,"$6,348,111",$0.184882,"34,335,962 *","$19,633",-0.54%,11.26%,-6.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,EMC Emercoin,EMC,"$6,098,543",$0.160666,37957824,"$13,241",-0.08%,1.53%,21.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,USDT Tether,USDT,"$5,951,586",$0.999999,"5,951,591 *","$1,377,466",0.00%,0.00%,0.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,BCN Bytecoin,BCN,"$5,751,324",$0.000032,180576746655,"$3,643",-9.83%,-5.70%,-14.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,FTC Feathercoin,FTC,"$5,510,954",$0.043884,125578920,"$19,381",3.54%,1.97%,283.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,XCP Counterparty,XCP,"$5,118,288",$1.95,"2,626,540 *","$29,405",-1.78%,6.34%,1.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,RBY Rubycoin,RBY,"$5,108,128",$0.220550,"23,160,898 *","$14,357",-0.56%,15.67%,11.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,HTC HitCoin,HTC,"$4,700,865",$0.000427,10996318099,$893,-0.15%,1.10%,-0.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,SJCX Storjcoin X,SJCX,"$4,690,234",$0.094717,"49,518,143 *","$26,623",-3.04%,-0.14%,0.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,AGRS Agoras Tokens,AGRS,"$4,392,506",$0.104583,"42,000,000 *",$580,-0.20%,9.06%,1.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,VASH VPNCoin,VASH,"$3,937,956",$0.009837,"400,339,746 *","$409,873",0.15%,13.08%,25.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,DCR Decred,DCR,"$3,818,051",$1.97,1938177,"$40,840",-0.01%,4.52%,20.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,XAUR Xaurum,XAUR,"$3,713,453",$496.02,"7,487 *","$1,650",-0.20%,-1.03%,13.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
