,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$3,397,186,865",$242.71,13996725,"$21,699,370",-0.16%,-3.99%,-9.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$271,170,728",$0.008498,"31,908,551,587 *","$417,819",-0.07%,-4.01%,-16.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$62,429,520",$1.66,37706354,"$1,242,077",-0.26%,-2.80%,-7.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$24,101,448",$4.60,5238589,"$216,958",-0.44%,-7.05%,1.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,BTS BitShares,BTS,"$16,640,213",$0.006643,"2,504,975,101 *","$42,090",-0.23%,-3.12%,-11.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,XLM Stellar,XLM,"$13,079,863",$0.003046,"4,294,171,781 *","$6,928",-0.03%,2.73%,-5.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DOGE Dogecoin,DOGE,"$12,536,968",$0.000127,98817739684,"$59,516",0.32%,-2.75%,-4.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NXT Nxt,NXT,"$10,271,940",$0.010272,"999,997,096 *","$15,281",-0.40%,-5.00%,-14.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,MAID MaidSafeCoin,MAID,"$9,227,366",$0.020390,"452,552,412 *","$2,223",-0.19%,-1.44%,-15.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,XPY PayCoin,XPY,"$8,547,189",$0.572017,14942202,"$43,939",-0.78%,-9.52%,-11.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,PPC Peercoin,PPC,"$7,160,931",$0.322726,22188881,"$18,276",-0.08%,-4.57%,-12.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XMR Monero,XMR,"$4,947,459",$0.712153,6947190,"$58,609",-3.61%,-11.50%,-7.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,BANX Banx,BANX,"$4,719,497",$1.31,"3,600,882 *","$12,078",-0.15%,-3.99%,-9.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NMC Namecoin,NMC,"$4,504,156",$0.401635,11214550,"$6,343",-0.31%,-4.85%,-10.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,XCP Counterparty,XCP,"$2,996,942",$1.13,"2,646,359 *",$650,-0.91%,-2.63%,-12.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,YBC YbCoin,YBC,"$2,978,842",$0.992947,"3,000,000 *","$24,335",4.39%,2.54%,5.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,MONA MonaCoin,MONA,"$2,589,228",$0.143690,18019500,"$9,685",-2.18%,-4.43%,-8.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,NSR NuShares,NSR,"$2,541,655",$0.003108,"817,731,187 *",$833,5.19%,-4.42%,-12.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,BCN Bytecoin,BCN,"$2,100,855",$0.000012,171240294729,"$4,455",-0.16%,-1.04%,-0.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,UNITY SuperNET,UNITY,"$2,018,964",$2.47,"816,061 *",$605,-0.32%,-6.12%,-12.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,USNBT NuBits,USNBT,"$1,968,892",$1.00,"1,961,615 *","$8,109",-0.16%,0.56%,0.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,BTCD BitcoinDark,BTCD,"$1,176,600",$0.971526,1211084,$569,0.00%,-9.18%,4.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,NOTE DNotes,NOTE,"$1,130,696",$0.011569,97737589,"$3,601",-0.35%,-11.40%,-18.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,BLK BlackCoin,BLK,"$1,093,252",$0.014608,"74,841,047 *","$4,452",-0.12%,-1.10%,-3.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,START Startcoin,START,"$1,057,528",$0.051711,20450664,"$25,734",-2.19%,9.37%,75.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,CLAM Clams,CLAM,"$887,312",$1.46,"608,325 *","$5,110",-0.13%,-8.43%,0.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,SJCX Storjcoin X,SJCX,"$754,309",$0.018192,"41,464,404 *","$2,727",10.84%,8.96%,4.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,XDN DigitalNote,XDN,"$717,007",$0.000105,6834477865,"$5,164",0.68%,-0.24%,-23.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,PANGEA Pangea Poker,PANGEA,"$667,248",$0.667680,"999,352 *","$1,256",-0.33%,-1.85%,1.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,SDC ShadowCash,SDC,"$639,896",$0.098918,"6,468,986 *","$19,574",-2.66%,6.97%,83.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,FC2 FuelCoin,FC2,"$610,744",$0.006095,100206032,"$1,534",23.71%,14.75%,18.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,DGB DigiByte,DGB,"$557,613",$0.000144,3864258911,"$1,458",-0.12%,-4.12%,-16.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,NVC Novacoin,NVC,"$549,887",$0.544936,1009087,"$9,222",0.91%,-1.12%,-6.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,ARCH ARCHcoin,ARCH,"$542,571",$0.033259,"16,313,711 *","$3,286",-0.15%,-2.53%,-16.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,ZRC ZiftrCOIN,ZRC,"$502,863",$0.097506,5157279,"$1,115",-1.10%,-7.45%,-14.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,RDD ReddCoin,RDD,"$481,171",$0.000017,"27,496,504,029 *",$523,-1.11%,-3.40%,-7.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,IFC Infinitecoin,IFC,"$438,917",$0.000005,90596248295,"$1,485",-0.14%,72.23%,53.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,BITUSD bitUSD,BITUSD,"$429,770",$0.996864,"431,122 *","$4,193",-0.22%,-5.13%,-0.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,CANN CannabisCoin,CANN,"$398,579",$0.005250,75913580,"$7,322",0.02%,-6.27%,18.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,QRK Quark,QRK,"$357,598",$0.001437,248797956,"$3,708",-0.37%,-7.14%,6.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,JINN Jinn,JINN,"$308,160",$3.08,"100,000 *","$1,199",-0.33%,-5.91%,-13.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,NAV NavCoin,NAV,"$288,536",$0.004965,"58,110,827 *","$4,941",-0.10%,-18.57%,-41.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,WDC WorldCoin,WDC,"$243,289",$0.003162,76943175,"$2,161",-0.45%,-9.14%,-15.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,MEC Megacoin,MEC,"$242,745",$0.008654,28051025,"$1,102",0.83%,-0.21%,-3.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
