,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$3,399,248,766",$240.30,14146075,"$15,019,138",-0.25%,-0.70%,-0.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$235,563,634",$0.007382,"31,908,551,587 *","$575,429",-0.09%,-2.51%,-8.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$55,988,971",$1.44,38915254,"$993,855",-0.28%,-0.71%,0.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$14,376,353",$2.68,5355806,"$57,877",-0.24%,-2.36%,-1.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,XLM Stellar,XLM,"$13,491,909",$0.002793,"4,830,316,831 *","$6,673",-0.40%,-2.01%,4.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,BTS BitShares,BTS,"$9,089,221",$0.003622,"2,509,520,303 *","$22,692",-0.26%,0.62%,-1.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DOGE Dogecoin,DOGE,"$8,961,296",$0.000090,99357186796,"$59,389",1.25%,-1.46%,-1.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,MAID MaidSafeCoin,MAID,"$8,766,917",$0.019372,"452,552,412 *","$13,671",-0.35%,-7.84%,-15.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,NXT Nxt,NXT,"$8,339,051",$0.008339,"999,997,096 *","$65,517",0.22%,-4.53%,-10.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,BANX Banx,BANX,"$7,525,004",$1.47,"5,129,536 *","$13,504",-0.35%,-0.64%,-0.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,PPC Peercoin,PPC,"$5,061,876",$0.226953,22303585,"$15,332",-1.15%,0.41%,-3.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,BCN Bytecoin,BCN,"$4,568,146",$0.000026,172684462195,"$3,988",-0.35%,-2.00%,0.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XMR Monero,XMR,"$4,287,552",$0.565103,7587199,"$25,842",-0.39%,9.88%,13.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NMC Namecoin,NMC,"$3,582,342",$0.311289,11508100,"$2,914",0.92%,-0.84%,-2.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,YBC YbCoin,YBC,"$2,795,488",$0.931829,"3,000,000 *","$49,252",0.56%,1.14%,-3.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,XCP Counterparty,XCP,"$2,505,748",$0.948625,"2,641,454 *","$1,374",-0.49%,-3.84%,3.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,NSR NuShares,NSR,"$2,171,046",$0.002667,"813,977,379 *","$1,125",0.91%,2.55%,4.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,FC2 FuelCoin,FC2,"$2,126,376",$0.021220,100206032,"$2,391",-0.37%,4.67%,79.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,UNITY SuperNET,UNITY,"$1,462,218",$1.79,"816,061 *","$9,513",0.25%,-12.08%,-17.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,MONA MonaCoin,MONA,"$1,391,561",$0.071251,19530450,"$4,452",-2.35%,-3.59%,2.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,ARCH ARCHcoin,ARCH,"$1,378,333",$0.084334,"16,343,779 *","$4,191",-0.35%,0.07%,-12.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,XPY PayCoin,XPY,"$1,364,035",$0.086356,15795558,"$3,637",-3.15%,3.09%,-36.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,XEM NEM,XEM,"$1,362,643",$0.000151,"8,999,999,999 *","$1,774",-1.86%,0.62%,0.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,NOTE DNotes,NOTE,"$1,160,817",$0.011705,99174915,$574,-1.37%,-1.59%,-1.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,BLK BlackCoin,BLK,"$1,071,302",$0.014308,"74,873,326 *","$4,958",-0.10%,-0.65%,-1.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,USNBT NuBits,USNBT,"$880,362",$0.995244,"884,569 *","$3,473",-0.16%,0.11%,0.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,CLAM Clams,CLAM,"$859,764",$1.28,"674,253 *","$4,837",0.77%,-0.81%,-1.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,VRC VeriCoin,VRC,"$850,172",$0.031385,27088642,"$3,831",0.25%,3.54%,-2.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,SJCX Storjcoin X,SJCX,"$834,817",$0.020133,"41,464,404 *","$2,525",-0.28%,-4.86%,7.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,SDC ShadowCash,SDC,"$777,605",$0.120088,"6,475,289 *","$2,649",-0.39%,-2.68%,1.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,START Startcoin,START,"$731,661",$0.031059,23557119,"$6,286",-3.72%,0.83%,-4.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,UNO Unobtanium,UNO,"$468,951",$2.41,194897,$751,-0.27%,3.96%,8.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,DGB DigiByte,DGB,"$467,379",$0.000113,4145515478,"$2,014",-0.30%,-1.10%,-6.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,NVC Novacoin,NVC,"$425,863",$0.406932,1046521,$863,-0.10%,2.26%,-11.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,XDN DigitalNote,XDN,"$408,410",$0.000060,6839700584,"$4,046",-5.56%,-8.75%,-14.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,AUR Auroracoin,AUR,"$406,677",$0.060207,6754610,$748,-0.29%,-3.47%,-14.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,BLOCK Blocknet,BLOCK,"$369,879",$0.094970,"3,894,686 *","$1,270",0.63%,7.57%,6.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,EMC Emercoin,EMC,"$350,720",$0.010000,35072011,"$1,080",0.00%,16.07%,-15.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,XC XCurrency,XC,"$338,057",$0.060365,"5,600,240 *",$519,-0.29%,12.13%,20.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,IFC Infinitecoin,IFC,"$308,822",$0.000003,90596266805,$912,3.54%,7.77%,26.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,SYS Syscoin,SYS,"$302,288",$0.000735,411013898,"$1,025",-0.68%,-3.10%,-9.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,RDD ReddCoin,RDD,"$274,883",$0.000010,"27,580,692,855 *","$7,920",-0.73%,-0.67%,-6.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,WDC WorldCoin,WDC,"$272,574",$0.003494,78016537,"$4,065",-0.52%,-0.38%,-2.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,USDT Tether,USDT,"$251,600",$1.00,"251,600 *","$2,466",0.00%,0.00%,0.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,XPM Primecoin,XPM,"$236,253",$0.023759,9943647,"$4,076",-0.23%,8.15%,19.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,SKYNET SkyNET,SKYNET,"$232,658",$0.260179,"894,223 *","$1,001",0.27%,?,-10.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,CANN CannabisCoin,CANN,"$232,299",$0.003037,76477509,"$1,407",-1.01%,-1.87%,-3.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
47,48,QRK Quark,QRK,"$229,172",$0.000921,248925898,"$1,537",4.93%,14.49%,19.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
