,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$76,589,269,102",$4610.48,16612000,"$1,313,873,664",0.03%,4.09%,5.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$29,322,704,975",$308.61,95016042,"$293,166,528",0.00%,-0.89%,2.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$10,805,036,261",$0.279944,"38,597,142,499 *","$529,837,888",2.11%,17.45%,39.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BCH Bitcoin Cash,BCH,"$5,707,261,397",$342.21,16677550,"$203,754,000",0.69%,-5.15%,-18.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,LTC Litecoin,LTC,"$2,832,003,112",$53.14,53290607,"$100,841,208",-0.43%,1.22%,-2.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DASH Dash,DASH,"$2,301,845,843",$302.48,7609811,"$33,683,256",-0.14%,-2.68%,-4.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XEM NEM,XEM,"$1,753,266,290",$0.194807,"8,999,999,999 *","$4,830,459",-0.51%,-8.16%,-19.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NEO NEO,NEO,"$1,603,285,980",$32.07,"50,000,000 *","$107,724,568",0.57%,-10.49%,-8.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,MIOTA IOTA,MIOTA,"$1,389,852,948",$0.500032,"2,779,530,283 *","$9,637,832",-0.21%,-6.06%,-18.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,XMR Monero,XMR,"$1,363,880,450",$89.77,15192276,"$29,220,784",-0.07%,-2.02%,-3.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,ETC Ethereum Classic,ETC,"$1,167,273,135",$12.12,96277484,"$32,447,842",-0.06%,-1.22%,-4.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,BCC BitConnect,BCC,"$1,035,116,156",$148.31,6979235,"$6,956,629",-0.11%,3.60%,7.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,OMG OmiseGO,OMG,"$756,804,128",$7.70,"98,312,024 *","$27,120,942",-1.42%,-9.45%,-20.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,QTUM Qtum,QTUM,"$657,419,818",$11.14,"59,000,000 *","$34,305,864",-2.20%,-6.62%,-9.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,ZEC Zcash,ZEC,"$568,052,516",$241.06,2356519,"$30,469,456",0.02%,-5.14%,-9.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,ADA Cardano,ADA,"$530,913,227",$0.020477,25927070538,"$7,727,465",0.78%,-1.67%,-18.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,LSK Lisk,LSK,"$528,449,566",$4.66,"113,283,495 *","$12,078,263",0.10%,-10.03%,-15.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,WAVES Waves,WAVES,"$444,113,970",$4.44,"100,000,000 *","$7,717,428",-1.87%,-11.19%,-10.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
