,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,495,292,967",$133.48,11202375,Low Vol,-1.16%,1.74%,9.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$58,458,017",$3.25,17993154,Low Vol,-0.37%,4.65%,-1.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$5,251,485",$0.930356,5644600,Low Vol,-2.32%,-1.64%,8.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$3,612,499",$0.189542,19059134,Low Vol,-6.42%,-9.94%,-9.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$1,225,595",$4.31,284444,Low Vol,-2.43%,3.43%,18.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DVC Devcoin,DVC,"$915,607",$0.000202,4542720000,Low Vol,-0.82%,1.54%,-1.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,TRC Terracoin,TRC,"$842,449",$0.312343,2697190,Low Vol,-3.42%,-9.58%,-12.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,FRC Freicoin,FRC,"$687,220",$0.032703,21014232,Low Vol,-1.19%,5.72%,-5.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,FTC Feathercoin,FTC,"$654,331",$0.098775,6624450,Low Vol,-2.47%,-5.59%,-21.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,CNC CHNCoin,CNC,"$374,915",$0.073414,5106866,Low Vol,-2.95%,-1.54%,-22.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MNC Mincoin,MNC,"$130,393",$0.121760,1070899,Low Vol,-9.23%,11.89%,-37.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,IXC Ixcoin,IXC,"$127,368",$0.010066,"12,653,618 *",Low Vol,-1.19%,2.98%,-15.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,BQC BBQCoin,BQC,"$114,258",$0.006407,17833240,Low Vol,-2.35%,-6.72%,-11.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,WDC WorldCoin,WDC,"$61,369",$0.025650,2392562,Low Vol,-0.10%,-10.51%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,BTB BitBar,BTB,"$54,030",$17.36,3113,Low Vol,-1.19%,-2.67%,-56.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
