,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$15,698,467,117",$966.73,16238812,"$303,667,552",0.72%,-0.05%,-8.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$4,553,738,355",$50.52,90134486,"$106,859,192",-0.50%,-0.46%,13.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,DASH Dash,DASH,"$673,067,501",$93.63,7188567,"$20,996,132",1.94%,0.05%,-12.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,XRP XRP,XRP,"$356,889,236",$0.009545,"37,388,960,792 *","$5,475,231",0.73%,3.17%,38.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,XMR Monero,XMR,"$278,199,250",$19.61,14185358,"$7,408,986",0.64%,-3.31%,-15.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,ETC Ethereum Classic,ETC,"$208,203,057",$2.31,90092997,"$4,810,064",0.15%,-0.08%,18.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,LTC Litecoin,LTC,"$204,508,708",$4.06,50362382,"$3,911,060",-0.12%,-0.16%,2.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XEM NEM,XEM,"$121,744,738",$0.013527,"8,999,999,999 *","$602,948",0.75%,6.38%,-15.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,REP Augur,REP,"$96,066,795",$8.73,"11,000,000 *","$1,110,613",0.09%,-1.70%,4.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MAID MaidSafeCoin,MAID,"$63,029,992",$0.139277,"452,552,412 *","$1,024,542",2.26%,-1.33%,-17.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,DCR Decred,DCR,"$62,499,647",$15.19,4114454,"$15,340,804",8.84%,34.85%,145.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,ZEC Zcash,ZEC,"$57,012,540",$59.93,951319,"$3,128,108",-0.02%,-5.67%,-16.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,USDT Tether,USDT,"$44,951,362",$1.00,"44,950,853 *","$16,614,257",0.00%,0.01%,0.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,GNT Golem,GNT,"$41,434,617",$0.050530,"820,000,000 *","$2,355,110",-6.22%,19.12%,35.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,STEEM Steem,STEEM,"$39,828,200",$0.169063,"235,581,606 *","$838,104",0.62%,-2.88%,-16.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,ICN Iconomi,ICN,"$36,048,723",$0.414353,"87,000,000 *","$487,781",0.63%,7.20%,37.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,WAVES Waves,WAVES,"$31,884,906",$0.318849,"100,000,000 *","$230,424",0.50%,6.45%,12.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,PIVX PIVX,PIVX,"$31,020,381",$0.589681,"52,605,400 *","$1,016,915",-0.73%,-6.63%,91.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,FCT Factom,FCT,"$30,994,496",$3.54,"8,753,219 *","$1,804,926",0.48%,0.69%,-1.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
