,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$102,482,504,137",$6153.85,16653387,"$2,859,038,464",-0.29%,6.96%,2.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$29,106,822,642",$305.09,95404694,"$551,751,680",-0.30%,2.93%,3.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$7,813,623,296",$0.202785,"38,531,538,922 *","$62,511,116",0.05%,0.59%,-0.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BCH Bitcoin Cash,BCH,"$7,569,660,907",$451.92,16749838,"$2,002,436,864",-2.09%,7.80%,35.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,LTC Litecoin,LTC,"$3,060,678,892",$57.11,53596032,"$138,339,808",0.07%,4.47%,1.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DASH Dash,DASH,"$2,172,392,017",$283.93,7651216,"$75,483,104",0.04%,2.65%,3.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XEM NEM,XEM,"$1,812,029,332",$0.201337,"8,999,999,999 *","$8,599,405",-0.19%,2.35%,-3.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NEO NEO,NEO,"$1,804,553,623",$27.76,"65,000,000 *","$29,736,516",-0.24%,1.65%,-1.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,BCC BitConnect,BCC,"$1,663,736,406",$227.10,7325961,"$11,138,237",-0.53%,7.10%,11.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,XMR Monero,XMR,"$1,355,008,229",$88.65,15284493,"$38,368,680",-0.92%,2.70%,2.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MIOTA IOTA,MIOTA,"$1,122,151,362",$0.403720,"2,779,530,283 *","$15,972,182",1.42%,2.07%,2.96%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,ETC Ethereum Classic,ETC,"$1,052,344,514",$10.86,96939219,"$65,005,208",-0.35%,2.28%,0.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,QTUM Qtum,QTUM,"$767,273,499",$10.42,"73,623,372 *","$40,119,560",-0.70%,2.05%,-1.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,ADA Cardano,ADA,"$741,692,125",$0.028607,25927070538,"$4,746,176",-1.46%,10.41%,3.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,OMG OmiseGO,OMG,"$717,320,015",$7.30,"98,312,024 *","$18,076,000",-0.15%,1.47%,-3.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,ZEC Zcash,ZEC,"$587,365,420",$234.33,2506619,"$59,020,900",0.10%,0.76%,10.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
