,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$3,654,266,205",$260.60,14022625,"$19,649,152",0.06%,2.72%,6.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$278,840,755",$0.008739,"31,908,551,587 *","$225,068",-0.02%,-1.24%,2.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$64,474,776",$1.70,37908054,"$1,012,924",-0.14%,0.82%,2.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$21,939,785",$4.17,5258071,"$136,532",-0.23%,1.01%,-8.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,BTS BitShares,BTS,"$14,634,630",$0.005842,"2,504,975,101 *","$51,079",-0.93%,-3.29%,-12.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$12,536,741",$0.000127,98908286969,"$66,699",1.15%,-0.82%,0.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XLM Stellar,XLM,"$11,465,864",$0.002666,"4,300,865,081 *","$12,082",-0.89%,-0.39%,-10.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NXT Nxt,NXT,"$11,023,630",$0.011024,"999,997,096 *","$18,923",-0.01%,3.01%,6.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,MAID MaidSafeCoin,MAID,"$9,297,908",$0.020545,"452,552,412 *","$9,748",0.01%,2.88%,-0.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,PPC Peercoin,PPC,"$7,377,594",$0.332226,22206584,"$12,628",0.02%,0.10%,2.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,XPY PayCoin,XPY,"$7,337,471",$0.483591,15172881,"$39,944",1.61%,-3.49%,-15.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XMR Monero,XMR,"$6,236,427",$0.883731,7056933,"$143,439",-0.14%,5.92%,17.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,BANX Banx,BANX,"$6,086,086",$1.41,"4,327,313 *","$13,136",0.01%,2.66%,6.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NMC Namecoin,NMC,"$4,424,022",$0.392911,11259600,"$16,823",-1.07%,-1.29%,-3.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,YBC YbCoin,YBC,"$3,466,204",$1.16,"3,000,000 *","$30,455",-2.50%,-0.13%,19.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,XCP Counterparty,XCP,"$3,114,438",$1.18,"2,646,359 *","$2,040",2.50%,-0.61%,2.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,NSR NuShares,NSR,"$2,822,853",$0.003450,"818,138,158 *",$807,0.01%,-15.52%,11.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
