,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$12,688,514,456",$790.53,16050637,"$60,524,412",0.08%,-0.15%,2.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$684,696,573",$7.87,87052600,"$5,890,020",-0.33%,1.13%,-4.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$235,319,784",$0.006574,"35,794,578,423 *","$1,194,404",0.01%,0.52%,-3.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,LTC Litecoin,LTC,"$179,940,443",$3.68,48937454,"$1,951,495",0.03%,-0.71%,1.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,XMR Monero,XMR,"$116,895,341",$8.61,13575133,"$2,073,321",-0.58%,3.26%,8.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,ETC Ethereum Classic,ETC,"$91,649,163",$1.05,86988128,"$632,975",0.58%,4.76%,13.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DASH Dash,DASH,"$68,843,108",$9.89,6963119,"$1,935,256",-0.13%,1.66%,4.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,MAID MaidSafeCoin,MAID,"$42,866,981",$0.094723,"452,552,412 *","$281,624",0.17%,3.94%,42.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,STEEM Steem,STEEM,"$38,786,628",$0.169774,"228,459,836 *","$52,209",-0.63%,4.06%,-11.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,XEM NEM,XEM,"$34,370,501",$0.003819,"8,999,999,999 *","$100,644",0.37%,5.73%,12.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,REP Augur,REP,"$34,103,285",$3.10,"11,000,000 *","$178,476",0.33%,10.09%,-3.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,FCT Factom,FCT,"$23,640,622",$2.70,"8,753,219 *","$1,497,312",-0.73%,8.87%,32.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,DOGE Dogecoin,DOGE,"$23,430,736",$0.000218,107349290302,"$73,407",0.21%,-0.37%,-1.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,WAVES Waves,WAVES,"$22,850,314",$0.228503,"100,000,000 *","$21,916",-0.31%,-3.72%,-0.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,XLM Stellar,XLM,"$20,072,252",$0.002900,"6,921,534,188 *","$142,791",0.23%,4.60%,26.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,ICN Iconomi,ICN,"$19,590,786",$0.225181,"87,000,000 *","$47,817",-1.56%,5.33%,10.55%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,DGD DigixDAO,DGD,"$18,473,589",$9.24,"2,000,000 *","$1,436",-0.42%,-1.73%,-8.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,PPY Peerplays [old],PPY,"$17,587,111",$17.59,"1,000,000 *",$688,-0.05%,-7.70%,4.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,LSK Lisk,LSK,"$15,039,043",$0.150390,"100,000,000 *","$143,862",-0.44%,12.10%,9.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,GAME GameCredits,GAME,"$13,037,771",$0.219542,59386300,"$390,266",-0.12%,-0.81%,0.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,ARDR Ardor,ARDR,"$10,013,174",$0.010023,"998,999,495 *","$17,758",-0.19%,-0.51%,-6.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,BTS BitShares,BTS,"$9,715,111",$0.003769,"2,577,890,000 *","$31,875",-0.15%,0.21%,-4.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,ZEC Zcash,ZEC,"$9,096,427",$36.44,249644,"$603,727",-0.29%,1.45%,-25.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,NLG Gulden,NLG,"$9,061,055",$0.026893,336929345,"$13,919",-3.35%,-1.58%,-3.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,BCN Bytecoin,BCN,"$8,485,330",$0.000047,182103036666,$582,2.63%,14.06%,10.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,EMC Emercoin,EMC,"$8,367,718",$0.213751,39147065,"$33,214",-3.26%,-0.25%,10.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,GNT Golem,GNT,"$8,254,968",$0.012122,"681,009,001 *","$8,249",-0.65%,1.33%,15.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,XAUR Xaurum,XAUR,"$7,915,516",$0.089040,"88,898,515 *","$12,644",0.04%,-5.88%,-10.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,SDC ShadowCash,SDC,"$7,398,685",$1.12,"6,609,633 *","$10,710",0.05%,1.21%,-3.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,SJCX Storjcoin X,SJCX,"$7,138,193",$0.141440,"50,468,144 *","$2,447",-0.43%,-0.75%,-2.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,USDT Tether,USDT,"$6,951,635",$1.00,"6,951,590 *","$430,745",0.00%,0.00%,0.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,NEO NEO,NEO,"$5,763,012",$0.115260,"50,000,000 *","$37,746",-0.76%,7.53%,-8.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,XCP Counterparty,XCP,"$5,741,439",$2.19,"2,620,946 *","$3,571",-1.43%,-1.91%,8.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,NXT Nxt,NXT,"$5,712,596",$0.005718,"998,999,983 *","$26,550",0.38%,-2.64%,-1.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
