,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$139,433,744,615",$8277.01,16845900,"$7,073,548,288",-1.43%,-9.13%,-29.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$81,310,528,444",$834.68,97414970,"$2,997,086,976",-1.47%,-12.80%,-32.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$31,819,952,005",$0.815703,"39,009,215,838 *","$1,190,962,432",-3.13%,-10.64%,-40.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BCH Bitcoin Cash,BCH,"$19,752,882,682",$1165.38,16949675,"$656,034,368",-0.12%,-7.90%,-32.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,ADA Cardano,ADA,"$9,834,219,715",$0.379303,25927070538,"$814,754,368",-4.50%,-12.51%,-42.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,LTC Litecoin,LTC,"$8,151,907,849",$148.02,55071158,"$1,006,084,864",-2.28%,-6.30%,-22.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,NEO NEO,NEO,"$6,984,561,729",$107.45,"65,000,000 *","$203,674,464",-2.31%,-11.33%,-30.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XLM Stellar,XLM,"$6,954,711,728",$0.377231,"18,436,221,948 *","$231,808,000",-3.43%,-11.92%,-39.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,EOS EOS,EOS,"$5,572,991,597",$8.61,"647,596,109 *","$588,172,416",-2.80%,-11.74%,-41.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,XEM NEM,XEM,"$4,957,834,303",$0.550870,"8,999,999,999 *","$41,394,708",-2.23%,-11.38%,-45.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MIOTA IOTA,MIOTA,"$4,847,801,228",$1.74,"2,779,530,283 *","$59,380,944",-2.06%,-11.22%,-30.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,DASH Dash,DASH,"$4,325,431,342",$549.96,7864939,"$80,706,608",-1.46%,-13.16%,-31.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XMR Monero,XMR,"$3,466,922,918",$221.05,15684169,"$48,981,740",-1.82%,-11.49%,-32.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,TRX TRON,TRX,"$2,494,029,332",$0.037933,65748192475,"$169,960,768",-1.76%,-14.03%,-42.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,LSK Lisk,LSK,"$2,355,455,677",$20.01,"117,727,964 *","$34,650,696",-0.62%,-12.62%,-13.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,USDT Tether,USDT,"$2,239,605,049",$1.01,"2,217,140,814 *","$2,504,639,488",0.97%,0.92%,2.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,VEN Vechain [Token],VEN,"$2,122,545,164",$4.54,"467,014,370 *","$69,855,864",-1.11%,-16.88%,-32.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,ETC Ethereum Classic,ETC,"$2,095,808,467",$21.04,99622775,"$218,348,112",-1.08%,-12.30%,-36.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,QTUM Qtum,QTUM,"$1,934,561,064",$26.19,"73,858,176 *","$219,326,736",-1.74%,-11.51%,-40.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,PPT Populous,PPT,"$1,735,522,655",$46.90,"37,004,027 *","$6,508,119",-0.30%,-20.25%,-35.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,NANO Nano,NANO,"$1,714,743,446",$12.87,"133,248,289 *","$26,667,864",-0.08%,-21.61%,-34.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,BTG Bitcoin Gold,BTG,"$1,689,849,696",$100.56,16805136,"$52,606,644",-2.51%,-11.12%,-46.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,ICX ICON,ICX,"$1,661,698,758",$4.36,"381,495,014 *","$54,855,120",-1.88%,-18.67%,-53.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,OMG OmiseGO,OMG,"$1,230,882,734",$12.06,"102,042,552 *","$36,225,816",-0.58%,-13.83%,-28.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,ZEC Zcash,ZEC,"$1,113,039,708",$346.91,3208419,"$45,202,600",-1.20%,-10.55%,-25.93%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,STEEM Steem,STEEM,"$964,678,756",$3.88,"248,517,686 *","$44,028,696",-1.79%,-11.06%,-37.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,BNB Binance Coin,BNB,"$837,524,168",$8.46,"99,014,000 *","$49,990,000",-1.54%,-12.29%,-36.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
