,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$9,317,034,156",$774.25,12033625,Low Vol,-0.89%,-2.56%,57.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$242,572,319",$10.41,23310992,Low Vol,-0.42%,-1.41%,150.93%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$91,218,427",$0.011668,"7,817,889,792 *",Low Vol,-0.28%,19.85%,12.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$45,055,424",$2.17,20782980,Low Vol,4.93%,22.55%,170.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NMC Namecoin,NMC,"$20,001,995",$2.71,7381150,Low Vol,0.63%,-1.18%,339.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,PTS BitShares PTS,PTS,"$7,490,654",$7.92,"945,721 *",Low Vol,-4.04%,-6.19%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,FTC Feathercoin,FTC,"$5,557,748",$0.232275,23927450,Low Vol,-3.20%,-11.13%,193.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XPM Primecoin,XPM,"$5,360,237",$1.70,3161249,Low Vol,-2.55%,8.46%,159.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,NVC Novacoin,NVC,"$4,059,827",$8.20,495143,Low Vol,-0.25%,0.37%,70.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,WDC WorldCoin,WDC,"$2,987,078",$0.092902,32152914,Low Vol,8.02%,0.15%,86.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MEC Megacoin,MEC,"$2,859,162",$0.136268,20981900,Low Vol,2.46%,54.31%,750.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,CBX Bullion,CBX,"$1,846,881",$2.04,905680,Low Vol,1.61%,-4.23%,74.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,FRC Freicoin,FRC,"$1,179,400",$0.035616,33114784,Low Vol,-0.91%,19.36%,478.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,IXC Ixcoin,IXC,"$1,035,453",$0.061932,"16,719,122 *",Low Vol,-0.89%,59.03%,250.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,ANC Anoncoin,ANC,"$958,864",$1.78,538413,Low Vol,-3.65%,30.60%,590.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,DVC Devcoin,DVC,"$846,445",$0.000147,5753920000,Low Vol,-0.69%,-0.15%,77.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,DGC Digitalcoin,DGC,"$681,231",$0.062699,10865136,Low Vol,-3.52%,56.15%,183.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,IFC Infinitecoin,IFC,"$629,489",$0.000007,87817371648,Low Vol,0.51%,-12.50%,365.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,TRC Terracoin,TRC,"$605,768",$0.139365,4346630,Low Vol,-4.24%,6.21%,176.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,BQC BBQCoin,BQC,"$573,645",$0.020905,27440874,Low Vol,1.51%,60.58%,1081.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,GLC GoldCoin,GLC,"$549,226",$0.019279,28488560,Low Vol,24.80%,103.98%,231.69%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,CLR Copperlark,CLR,"$513,698",$0.106088,4842199,Low Vol,1.96%,-10.78%,72.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,MNC Mincoin,MNC,"$457,382",$0.325185,1406530,Low Vol,-18.00%,44.21%,67.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,QRK Quark,QRK,"$292,037",$0.001192,244926784,Low Vol,0.51%,142.63%,462.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,FST Fastcoin,FST,"$189,154",$0.004630,40853888,Low Vol,20.08%,45.73%,535.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,TIX Tickets,TIX,"$178,831",$0.000003,56499875840,Low Vol,-2.31%,58.04%,846.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,TAG TagCoin,TAG,"$161,588",$0.700696,230610,Low Vol,-15.89%,38.92%,154.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,YAC Yacoin,YAC,"$142,057",$0.013240,10729641,Low Vol,-21.74%,64.17%,403.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,ZET Zetacoin,ZET,"$100,541",$0.000643,156452912,Low Vol,-1.40%,0.83%,37.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,BTB BitBar,BTB,"$86,810",$11.07,7841,Low Vol,3.91%,64.00%,1077.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,LKY Luckycoin,LKY,"$57,053",$0.007162,7966256,Low Vol,3.36%,262.40%,844.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,FRK Franko,FRK,"$39,508",$0.580688,68036,Low Vol,10.86%,67.38%,120.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,BTE Bytecoin,BTE,"$31,276",$0.021679,1442700,Low Vol,1.18%,0.83%,135.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,PXC Phoenixcoin,PXC,"$12,114",$0.001974,6135750,Low Vol,-1.00%,32.98%,127.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,JKC Junkcoin,JKC,"$4,093",$0.000495,8265100,Low Vol,-1.92%,-0.32%,58.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,CRC CraftCoin,CRC,"$3,799",$0.019349,196371,Low Vol,-0.89%,2.04%,-7.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
