,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$6,467,437,080",$430.01,15040150,"$39,633,768",0.32%,-0.82%,1.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$201,799,631",$0.006017,"33,537,439,933 *","$291,723",0.18%,-0.86%,-5.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$152,873,521",$3.48,43890464,"$2,406,154",0.13%,-0.61%,-0.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,ETH Ethereum,ETH,"$73,843,278",$0.971905,75977890,"$407,632",0.33%,3.40%,13.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DASH Dash,DASH,"$19,794,713",$3.24,6109219,"$87,155",-0.12%,-1.86%,21.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$14,940,681",$0.000146,102502370532,"$104,005",0.81%,-2.73%,1.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,PPC Peercoin,PPC,"$9,756,959",$0.426281,22888585,"$21,814",-0.09%,0.04%,0.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,BTS BitShares,BTS,"$8,591,688",$0.003386,"2,537,097,300 *","$12,205",-0.03%,-1.03%,-3.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XLM Stellar,XLM,"$8,436,465",$0.001744,"4,837,356,606 *","$43,531",0.41%,-0.40%,0.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,NXT Nxt,NXT,"$6,863,998",$0.006864,"999,997,096 *","$8,889",-0.88%,-4.53%,6.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
