,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$155,850,820,848",$9330.55,16703275,"$5,475,582,464",-0.32%,6.22%,16.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$45,235,669,733",$471.33,95974465,"$1,197,776,896",0.07%,1.38%,32.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,BCH Bitcoin Cash,BCH,"$29,200,980,119",$1735.66,16824150,"$1,593,048,832",0.60%,9.82%,47.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,XRP XRP,XRP,"$9,610,065,184",$0.248818,"38,622,870,411 *","$133,296,912",-0.29%,-1.35%,7.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,BTG Bitcoin Gold,BTG,"$6,115,594,817",$366.79,16673449,"$141,228,336",6.58%,2.22%,175.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DASH Dash,DASH,"$4,794,261,360",$621.62,7712487,"$145,500,176",-1.01%,-2.95%,41.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,LTC Litecoin,LTC,"$4,640,578,368",$85.93,54006208,"$357,457,312",-0.57%,-2.41%,20.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XMR Monero,XMR,"$2,516,568,366",$163.37,15403712,"$61,100,392",-0.13%,-2.65%,25.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,NEO NEO,NEO,"$2,498,863,487",$38.44,"65,000,000 *","$61,597,676",-0.24%,0.49%,-3.96%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MIOTA IOTA,MIOTA,"$2,340,175,155",$0.841932,"2,779,530,283 *","$47,779,280",2.94%,4.63%,-3.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,ETC Ethereum Classic,ETC,"$2,173,322,763",$22.22,97827094,"$494,333,088",1.20%,2.07%,23.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XEM NEM,XEM,"$1,924,972,996",$0.213886,"8,999,999,999 *","$12,589,906",-0.90%,-1.75%,5.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,EOS EOS,EOS,"$1,229,361,529",$2.46,"500,699,488 *","$116,845,776",-0.07%,21.07%,27.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,QTUM Qtum,QTUM,"$1,089,849,611",$14.79,"73,690,244 *","$115,806,704",-0.09%,2.14%,4.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,ADA Cardano,ADA,"$941,982,425",$0.036332,25927070538,"$30,527,132",-4.25%,20.00%,26.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,ZEC Zcash,ZEC,"$920,840,988",$340.14,2707206,"$81,416,352",-0.75%,-1.52%,14.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,HC HyperCash,HC,"$870,555,143",$20.58,42299232,"$55,829,644",-0.24%,7.97%,6.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,LSK Lisk,LSK,"$866,591,071",$7.51,"115,317,768 *","$30,757,622",-0.86%,-6.38%,-21.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,XLM Stellar,XLM,"$866,135,017",$0.048896,"17,713,853,990 *","$30,583,740",1.56%,11.56%,32.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,OMG OmiseGO,OMG,"$866,113,037",$8.49,"102,042,552 *","$35,970,804",-0.83%,-2.15%,7.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,USDT Tether,USDT,"$680,827,114",$1.01,"674,967,839 *","$636,451,776",-0.54%,0.38%,0.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,BCC BitConnect,BCC,"$640,975,748",$299.79,2138092,"$20,582,632",-0.68%,-1.55%,2.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,WAVES Waves,WAVES,"$568,491,650",$5.68,"100,000,000 *","$25,667,324",-0.22%,6.16%,9.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,PPT Populous,PPT,"$477,749,985",$11.58,"41,252,246 *","$1,232,816",-0.01%,-3.43%,22.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,STRAT Stratis,STRAT,"$449,460,636",$4.56,"98,637,657 *","$16,465,856",0.21%,-5.46%,31.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,DCR Decred,DCR,"$385,215,454",$61.73,6240416,"$16,942,764",0.87%,27.55%,79.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,BTX Bitcore,BTX,"$373,697,928",$35.17,10624902,"$5,523,184",1.11%,2.78%,24.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,BTS BitShares,BTS,"$354,533,260",$0.136213,"2,602,780,000 *","$12,225,325",-2.48%,1.35%,33.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,ARK Ark,ARK,"$343,480,477",$3.51,"97,981,284 *","$8,287,348",-2.04%,10.10%,11.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,ARDR Ardor,ARDR,"$327,337,260",$0.327665,"998,999,495 *","$2,875,267",5.28%,17.71%,35.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,BCN Bytecoin,BCN,"$307,741,988",$0.001679,183253534612,"$4,270,840",-1.19%,2.05%,29.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,KMD Komodo,KMD,"$305,637,508",$2.95,103624559,"$8,449,757",-0.20%,11.96%,25.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,REP Augur,REP,"$299,326,712",$27.21,"11,000,000 *","$2,298,211",-1.46%,-3.91%,34.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,RDN Raiden Networ...,RDN,"$275,150,442",$5.50,"50,000,000 *","$15,694,456",3.22%,24.02%,151.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,STEEM Steem,STEEM,"$270,912,907",$1.10,"246,756,470 *","$2,047,930",0.26%,5.59%,20.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,POWR Power Ledger,POWR,"$267,082,103",$0.762319,"350,354,900 *","$41,511,960",0.87%,-3.63%,82.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,MONA MonaCoin,MONA,"$249,821,589",$4.49,55603900,"$8,991,700",0.01%,0.10%,47.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,PAY TenX,PAY,"$245,269,627",$2.34,"104,661,310 *","$9,158,002",5.50%,15.88%,36.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,GNT Golem,GNT,"$229,004,708",$0.274905,"833,032,000 *","$3,967,804",-0.74%,8.69%,27.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,VTC Vertcoin,VTC,"$227,406,788",$5.47,41564650,"$49,734,500",1.41%,13.41%,31.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,DOGE Dogecoin,DOGE,"$227,138,667",$0.002026,112088946846,"$7,670,431",0.32%,-1.20%,47.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,SALT SALT,SALT,"$213,902,574",$4.37,"48,941,347 *","$6,857,594",0.62%,12.06%,17.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,MAID MaidSafeCoin,MAID,"$205,680,171",$0.454489,"452,552,412 *","$2,492,146",-1.02%,-4.19%,16.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,XUC Exchange Union,XUC,"$204,455,073",$8.24,"24,798,538 *","$2,590,431",2.83%,5.67%,175.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,FCT Factom,FCT,"$200,392,502",$22.91,"8,745,102 *","$4,562,492",2.18%,-0.84%,20.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,GAS Gas,GAS,"$194,671,590",$22.64,"8,597,035 *","$1,642,726",0.99%,2.26%,-5.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,PIVX PIVX,PIVX,"$192,958,010",$3.51,"55,004,429 *","$1,716,173",0.89%,7.55%,16.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
