,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$8,209,057,786",$526.23,15599650,"$148,737,120",0.51%,-0.52%,19.64%,Add to Watchlist Remove from Watchlist  Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$994,351,515",$12.35,80511511,"$28,598,388",-0.46%,4.59%,-13.40%,Add to Watchlist Remove from Watchlist  Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$212,056,265",$4.61,46002976,"$7,351,422",0.27%,-3.07%,17.39%,Add to Watchlist Remove from Watchlist  Watchlist full! View Chart View Markets View Historical Data
3,4,XRP XRP,XRP,"$197,443,846",$0.005662,"34,868,679,462 *","$829,452",0.28%,-0.32%,-4.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DAO The DAO,DAO,"$137,240,495",$0.117022,"1,172,775,159 *","$5,084,944",0.59%,-5.16%,-34.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DASH Dash,DASH,"$53,072,132",$8.19,6480703,"$400,555",0.10%,2.32%,0.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,LSK Lisk,LSK,"$37,733,701",$0.377337,"100,000,000 *","$4,810,203",-0.92%,8.14%,-86.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,MAID MaidSafeCoin,MAID,"$28,887,258",$0.063832,"452,552,412 *","$369,392",0.60%,10.22%,6.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,DOGE Dogecoin,DOGE,"$24,869,505",$0.000238,104534121583,"$340,639",0.37%,1.30%,6.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,STEEM Steem,STEEM,"$18,676,994",$0.450608,"41,448,430 *","$2,714",0.38%,-9.51%,1.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,DGD DigixDAO,DGD,"$16,825,697",$8.41,"2,000,000 *","$9,208",-0.05%,-6.72%,-8.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XEM NEM,XEM,"$14,833,247",$0.001648,"8,999,999,999 *","$55,953",4.16%,1.51%,-2.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,TIPS FedoraCoin,TIPS,"$12,118,089",$0.000029,423980621053,"$20,611",9.16%,-6.77%,-17.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,XMR Monero,XMR,"$10,587,892",$0.881719,12008233,"$188,141",-1.80%,-4.15%,-7.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,PPC Peercoin,PPC,"$8,967,994",$0.386436,23206953,"$49,887",1.70%,1.37%,9.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,BTS BitShares,BTS,"$8,537,806",$0.003335,"2,559,770,000 *","$238,049",0.31%,-2.88%,-5.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,XLM Stellar,XLM,"$8,210,763",$0.001497,"5,485,679,598 *","$51,175",-0.17%,0.75%,-8.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,YBC YbCoin,YBC,"$7,367,755",$2.45,"3,009,419 *","$573,001",0.18%,5.29%,11.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,FCT Factom,FCT,"$7,145,437",$0.816321,"8,753,219 *","$285,019",-0.11%,10.49%,-27.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,NXT Nxt,NXT,"$6,684,962",$0.006685,"999,997,096 *","$32,889",1.89%,9.05%,11.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,AMP HyperSpace,AMP,"$6,469,304",$0.035007,"184,800,000 *","$6,066",6.22%,9.90%,-21.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,EMC Emercoin,EMC,"$6,300,200",$0.166667,37801080,"$5,436",-0.29%,0.26%,-8.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
