,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$5,706,167,060",$446.26,12786525,"$2,857,834",0.19%,-0.56%,2.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$295,067,066",$10.36,28480054,"$908,962",0.48%,0.04%,-0.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$46,938,109",$0.006004,"7,817,889,792 *","$346,678",0.14%,-7.44%,4.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$44,387,387",$2.07,21412062,"$118,091",0.13%,-0.95%,-0.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NXT Nxt,NXT,"$39,047,535",$0.039048,"999,997,120 *","$126,634",-0.37%,-8.98%,29.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$35,125,175",$0.000449,78300807168,"$321,137",0.12%,-0.98%,-1.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DASH Dash,DASH,"$27,439,486",$6.38,4301024,"$2,041,025",2.66%,36.99%,143.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NMC Namecoin,NMC,"$17,412,679",$1.98,8795332,"$67,241",-0.49%,-1.89%,-2.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,OMNI Omni,OMNI,"$14,492,685",$23.39,"619,478 *","$7,875",-1.46%,-5.57%,-24.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,BLK BlackCoin,BLK,"$6,301,694",$0.084544,"74,537,360 *","$511,357",-0.90%,14.13%,-27.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MAID MaidSafeCoin,MAID,"$5,984,489",$0.013224,"452,552,416 *","$6,888",0.34%,-6.29%,9.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,PTS BitShares PTS,PTS,"$5,858,212",$3.58,"1,637,149 *","$9,602",0.01%,1.27%,1.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XCP Counterparty,XCP,"$4,636,831",$1.75,"2,649,274 *","$3,773",0.16%,-1.67%,-3.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,VTC Vertcoin,VTC,"$4,456,776",$1.00,4454900,"$36,977",-1.52%,-4.26%,7.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,QRK Quark,QRK,"$4,152,959",$0.016756,247855392,"$5,959",1.40%,-0.61%,-1.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,AUR Auroracoin,AUR,"$4,060,139",$0.375245,10819963,"$9,828",6.34%,0.68%,-12.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,XPM Primecoin,XPM,"$3,499,195",$0.609625,5739916,"$14,952",0.63%,-0.34%,-7.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,FTC Feathercoin,FTC,"$3,286,294",$0.075696,43414608,"$18,059",0.15%,-2.57%,-3.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,ZET Zetacoin,ZET,"$2,200,318",$0.013713,160451712,"$24,187",0.70%,-4.35%,-33.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,MEC Megacoin,MEC,"$2,140,044",$0.091025,23510450,"$9,277",0.79%,-1.76%,4.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,NVC Novacoin,NVC,"$1,870,030",$2.34,800531,"$7,084",0.52%,-3.29%,-12.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,IFC Infinitecoin,IFC,"$1,613,807",$0.000018,90550583296,"$11,272",2.56%,-1.28%,-12.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,WDC WorldCoin,WDC,"$1,567,563",$0.028177,55633440,"$4,756",-0.20%,-1.19%,4.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,YBC YbCoin,YBC,"$1,533,181",$1.04,"1,478,568 *","$17,477",0.01%,-3.44%,-4.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,MAX Maxcoin,MAX,"$1,512,139",$0.074154,20391768,"$71,885",-0.30%,-7.16%,36.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,BIL Billioncoin,BIL,"$1,263,782",$0.000169,7487816192,"$121,944",-0.80%,-0.79%,11.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,IXC Ixcoin,IXC,"$1,179,510",$0.060146,"19,610,834 *",$745,3.44%,-2.02%,6.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,CINNI Cinni,CINNI,"$840,568",$0.055999,"15,010,441 *","$110,526",2.27%,-15.99%,-34.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,ANC Anoncoin,ANC,"$680,603",$0.709516,959249,"$5,862",0.81%,-13.21%,11.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,NAUT NautilusCoin,NAUT,"$642,745",$0.284551,"2,258,802 *","$176,233",0.19%,12.86%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,MINT MintCoin,MINT,"$617,047",$0.000032,"19,073,167,360 *","$7,058",-15.85%,-16.24%,-29.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,XLB Libertycoin,XLB,"$595,068",$0.036050,"16,506,797 *","$357,193",1.83%,-26.17%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,PRT Particle,PRT,"$586,445",$0.000835,702738624,$557,-2.22%,-0.28%,-9.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,CAIx CAIx,CAIx,"$533,476",$0.272381,"1,958,566 *","$18,606",-0.14%,-8.14%,29.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,DVC Devcoin,DVC,"$526,712",$0.000076,6910320128,"$1,350",-0.30%,-3.37%,-6.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,RDD ReddCoin,RDD,"$524,475",$0.000022,"23,505,049,600 *","$4,381",-6.93%,-8.41%,-44.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,XMY Myriad,XMY,"$521,291",$0.002107,247400000,"$12,618",-0.53%,-5.32%,-6.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,HBN HoboNickels,HBN,"$495,310",$0.111566,4439632,"$1,338",-1.26%,-8.19%,-9.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,FLT FlutterCoin,FLT,"$489,106",$0.002570,190324512,"$18,636",-0.43%,-6.18%,-29.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,USDE USDe,USDE,"$466,796",$0.000670,696682816,"$4,337",0.36%,-4.74%,-19.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,TRC Terracoin,TRC,"$465,548",$0.071067,6550830,"$1,753",-0.01%,-6.83%,-7.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,APC Applecoin,APC,"$444,503",$0.025723,"17,280,686 *","$8,870",1.92%,-0.14%,-0.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,UTC UltraCoin,UTC,"$419,167",$0.028252,14836510,"$1,758",0.19%,-3.69%,-5.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,NRS NoirShares,NRS,"$413,074",$0.200724,2057919,"$5,530",-3.67%,10.78%,2.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,DGC Digitalcoin,DGC,"$385,168",$0.025096,15347623,"$4,329",-0.17%,2.05%,3.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,UNO Unobtanium,UNO,"$375,462",$2.05,182865,"$6,600",4.40%,-10.79%,1.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,AC AsiaCoin,AC,"$356,675",$0.002077,171764688,"$11,539",-1.71%,-10.11%,-28.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
47,48,PND Pandacoin,PND,"$353,446",$0.000011,31706681344,"$2,056",2.85%,5.17%,-38.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
