,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$18,860,276,478",$1165.20,16186275,"$116,485,920",0.12%,1.98%,11.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$1,296,037,260",$14.52,89259008,"$20,307,524",1.03%,7.30%,13.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$210,650,147",$0.005671,"37,144,100,247 *","$258,373",-0.49%,0.01%,-3.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$200,284,955",$28.11,7126008,"$4,656,680",-0.08%,6.28%,22.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,LTC Litecoin,LTC,"$191,185,412",$3.83,49960707,"$2,688,251",-0.32%,0.09%,1.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,XMR Monero,XMR,"$166,672,355",$11.89,14019493,"$2,039,856",-0.02%,0.22%,-8.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,ETC Ethereum Classic,ETC,"$111,373,909",$1.25,89220632,"$1,486,194",1.03%,3.11%,2.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,MAID MaidSafeCoin,MAID,"$79,468,045",$0.175600,"452,552,412 *","$462,028",0.42%,5.56%,-9.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XEM NEM,XEM,"$58,022,966",$0.006447,"8,999,999,999 *","$84,192",-0.42%,1.18%,1.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,REP Augur,REP,"$53,985,047",$4.91,"11,000,000 *","$114,914",-0.35%,2.87%,-4.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,ICN Iconomi,ICN,"$29,514,291",$0.339245,"87,000,000 *","$134,286",1.73%,10.07%,-1.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,STEEM Steem,STEEM,"$25,908,670",$0.109711,"236,153,825 *","$47,461",-0.24%,-5.61%,-7.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,FCT Factom,FCT,"$25,468,761",$2.91,"8,753,219 *","$360,383",-0.60%,-0.05%,-10.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,USDT Tether,USDT,"$24,951,141",$1.00,"24,950,986 *","$2,280,938",0.00%,0.00%,0.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,ZEC Zcash,ZEC,"$22,108,230",$29.45,750669,"$505,969",0.17%,1.22%,-3.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
