,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$11,531,708,653",$955.85,12064350,Low Vol,0.94%,-15.47%,22.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$817,326,373",$34.74,23529942,Low Vol,1.42%,-14.91%,231.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$402,593,977",$0.051497,"7,817,889,792 *",Low Vol,1.49%,32.27%,342.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$133,213,784",$6.39,20863298,Low Vol,2.20%,-17.55%,197.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NMC Namecoin,NMC,"$62,668,948",$8.42,7441950,Low Vol,0.55%,-17.15%,214.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,QRK Quark,QRK,"$61,041,537",$0.248511,245628672,Low Vol,2.37%,?,> 9000%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,MEC Megacoin,MEC,"$31,753,578",$1.51,21092224,Low Vol,-10.47%,-35.65%,943.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,PTS BitShares PTS,PTS,"$24,532,015",$24.71,"992,689 *",Low Vol,-18.58%,?,213.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,FTC Feathercoin,FTC,"$24,154,271",$0.974967,24774450,Low Vol,2.14%,-25.80%,301.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,XPM Primecoin,XPM,"$18,467,629",$5.54,3331144,Low Vol,5.31%,-22.84%,209.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,WDC WorldCoin,WDC,"$16,223,784",$0.487464,33281990,Low Vol,4.62%,?,459.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,FRC Freicoin,FRC,"$10,905,477",$0.322121,33855172,Low Vol,-1.02%,-30.07%,753.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,NVC Novacoin,NVC,"$10,848,054",$21.54,503734,Low Vol,0.38%,-15.31%,163.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,BQC BBQCoin,BQC,"$6,523,733",$0.234183,27857386,Low Vol,0.27%,?,904.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,ZET Zetacoin,ZET,"$5,959,034",$0.037833,157510800,Low Vol,6.34%,5.11%,5676.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,IFC Infinitecoin,IFC,"$5,763,849",$0.000065,88138989568,Low Vol,1.10%,-15.91%,813.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,TRC Terracoin,TRC,"$5,460,826",$1.21,4498470,Low Vol,2.23%,-19.07%,720.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,CBX Bullion,CBX,"$4,352,025",$4.78,910599,Low Vol,5.60%,-22.15%,135.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,DVC Devcoin,DVC,"$3,631,041",$0.000626,5798070272,Low Vol,-2.27%,-1.30%,329.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,ANC Anoncoin,ANC,"$3,503,696",$6.31,555383,Low Vol,11.17%,-35.71%,224.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,GLC GoldCoin,GLC,"$3,469,629",$0.120905,28697044,Low Vol,27.37%,32.33%,669.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,DGC Digitalcoin,DGC,"$3,016,115",$0.273010,11047641,Low Vol,1.07%,-37.98%,341.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
