,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$3,356,177,230",$236.80,14172925,"$11,134,279",-0.04%,0.21%,-1.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$201,953,324",$0.006329,"31,908,551,587 *","$350,731",-0.09%,-3.70%,-14.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$56,876,132",$1.45,39113254,"$481,714",-0.01%,0.47%,1.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$15,746,928",$2.93,5374899,"$52,827",-0.03%,-2.69%,9.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,XLM Stellar,XLM,"$12,455,579",$0.002576,"4,835,025,206 *","$9,992",-0.14%,-0.61%,-10.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$11,438,212",$0.000115,99447176079,"$62,533",0.04%,-1.22%,28.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,NXT Nxt,NXT,"$9,262,165",$0.009262,"999,997,096 *","$11,402",-0.37%,-0.90%,12.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,BTS BitShares,BTS,"$9,078,214",$0.003618,"2,509,520,303 *","$16,814",-0.20%,0.15%,0.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,MAID MaidSafeCoin,MAID,"$8,583,701",$0.018967,"452,552,412 *","$3,600",-0.04%,2.06%,-0.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,BANX Banx,BANX,"$7,515,016",$1.44,"5,202,663 *","$13,881",-0.04%,0.21%,-1.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,PPC Peercoin,PPC,"$5,652,599",$0.253173,22327029,"$7,457",0.17%,0.30%,11.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,BCN Bytecoin,BCN,"$4,526,844",$0.000026,172907505616,"$4,366",-0.06%,1.54%,-1.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XMR Monero,XMR,"$4,285,730",$0.557216,7691327,"$38,552",-0.75%,-9.12%,1.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NMC Namecoin,NMC,"$3,566,307",$0.308674,11553650,"$4,838",-0.38%,0.64%,-0.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,YBC YbCoin,YBC,"$2,771,823",$0.923941,"3,000,000 *","$49,626",-2.21%,3.96%,1.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,XPY PayCoin,XPY,"$2,643,855",$0.166804,15850060,"$3,985",-0.01%,-1.18%,87.80%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,MONA MonaCoin,MONA,"$2,622,237",$0.132816,19743350,"$9,533",9.50%,12.11%,82.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,IFC Infinitecoin,IFC,"$2,378,987",$0.000026,90596268042,"$15,158",4.11%,10.09%,667.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,XCP Counterparty,XCP,"$2,291,616",$0.867585,"2,641,373 *","$2,970",-0.03%,-6.23%,-8.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,FAIR FairCoin,FAIR,"$2,266,020",$0.043801,"51,734,099 *","$1,136",0.42%,10.33%,80.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,NSR NuShares,NSR,"$1,643,493",$0.002018,"814,345,545 *","$3,099",-0.04%,-5.05%,-21.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,UNITY SuperNET,UNITY,"$1,568,697",$1.92,"816,061 *","$1,299",-0.39%,-2.06%,8.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,XEM NEM,XEM,"$1,437,050",$0.000160,"8,999,999,999 *","$1,049",1.97%,2.72%,6.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,ARCH ARCHcoin,ARCH,"$1,267,744",$0.077544,"16,348,661 *","$3,525",-9.41%,-4.60%,-8.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,BLK BlackCoin,BLK,"$1,185,921",$0.015838,"74,880,304 *","$7,247",-0.07%,-2.26%,10.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,XUSD CoinoUSD,XUSD,"$1,132,924",$0.959339,"1,180,942 *","$1,079",-0.05%,3.21%,9.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,NOTE DNotes,NOTE,"$1,023,204",$0.010293,99412272,$612,0.06%,5.52%,-11.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,BTCD BitcoinDark,BTCD,"$946,689",$0.777474,1217647,"$1,919",-0.04%,-3.72%,-2.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,SJCX Storjcoin X,SJCX,"$892,448",$0.021523,"41,464,404 *",$794,-2.05%,-10.59%,4.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,USNBT NuBits,USNBT,"$882,608",$0.990402,"891,162 *","$3,251",-0.04%,-0.16%,-0.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,START Startcoin,START,"$837,069",$0.034876,24001084,"$9,149",-4.22%,16.93%,15.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,CLAM Clams,CLAM,"$823,116",$1.20,"684,733 *","$2,418",-2.80%,-2.48%,-4.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
