,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$8,094,127,199",$630.23,12843150,"$45,259,060",-1.85%,1.22%,9.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$321,886,162",$11.14,28898054,"$7,308,225",-0.41%,1.80%,-3.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NXT Nxt,NXT,"$57,204,901",$0.057205,"999,997,120 *","$371,767",-0.87%,9.78%,41.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,DASH Dash,DASH,"$56,209,181",$12.93,4347579,"$3,460,748",-5.15%,14.02%,-11.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,PPC Peercoin,PPC,"$43,310,328",$2.02,21445900,"$479,738",-0.77%,-0.47%,-17.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$32,411,576",$0.000403,80494583808,"$1,715,413",-1.58%,19.03%,-3.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XRP XRP,XRP,"$31,988,959",$0.004092,"7,817,889,792 *","$246,244",-0.54%,-1.02%,12.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NMC Namecoin,NMC,"$20,355,604",$2.28,8912132,"$399,374",-1.21%,-3.29%,-15.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,BLK BlackCoin,BLK,"$15,261,385",$0.204731,"74,543,768 *","$2,687,974",-2.18%,-16.23%,36.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,OMNI Omni,OMNI,"$10,349,619",$16.71,"619,478 *","$8,833",-1.87%,-27.89%,-41.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,PTS BitShares PTS,PTS,"$7,275,718",$4.44,"1,639,686 *","$53,170",-0.25%,-3.46%,0.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XCP Counterparty,XCP,"$7,060,671",$2.67,"2,649,260 *","$10,456",0.12%,9.69%,-17.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XC XCurrency,XC,"$6,835,716",$1.24,"5,511,467 *","$1,573,058",-11.39%,11.30%,155.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,MAID MaidSafeCoin,MAID,"$6,512,655",$0.014391,"452,552,416 *","$11,695",-2.12%,-13.68%,2.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,VTC Vertcoin,VTC,"$4,348,691",$0.896019,4853350,"$52,805",-2.15%,-2.83%,-14.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,QRK Quark,QRK,"$3,978,265",$0.016048,247896384,"$10,587",-0.02%,-0.50%,-8.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,XPM Primecoin,XPM,"$3,452,777",$0.591827,5834095,"$60,799",-0.96%,3.45%,-16.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,FTC Feathercoin,FTC,"$2,738,998",$0.061045,44868448,"$28,612",-0.16%,1.81%,-13.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,AUR Auroracoin,AUR,"$2,622,491",$0.241290,10868613,"$3,387",-0.92%,-3.83%,-22.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,QORA Qora,QORA,"$2,549,969",$0.000255,"10,000,000,000 *","$30,959",-2.11%,-37.96%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,ZET Zetacoin,ZET,"$2,345,015",$0.014611,160501200,"$30,048",-3.27%,-4.51%,-19.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,MEC Megacoin,MEC,"$2,196,407",$0.092629,23711924,"$37,798",-6.01%,14.66%,-1.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,YBC YbCoin,YBC,"$1,998,442",$1.29,"1,544,719 *","$53,726",-1.00%,1.57%,14.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,NVC Novacoin,NVC,"$1,962,014",$2.41,814975,"$17,642",-0.63%,0.70%,-10.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,XMR Monero,XMR,"$1,934,460",$1.74,1113390,"$130,602",9.80%,-11.65%,-47.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,IFC Infinitecoin,IFC,"$1,602,039",$0.000018,90561626112,"$7,263",-0.45%,8.16%,-7.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,IXC Ixcoin,IXC,"$1,580,092",$0.079712,"19,822,610 *","$9,491",-0.64%,-9.88%,18.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,WDC WorldCoin,WDC,"$1,365,998",$0.024001,56913656,"$18,837",-3.17%,-1.46%,-2.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
