,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$4,974,536,263",$367.57,13533475,"$15,151,577",-0.58%,3.86%,-6.37%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$265,561,504",$0.008599,"30,881,360,458 *","$1,288,050",0.24%,11.88%,65.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$122,525,156",$3.59,34088194,"$1,686,972",-0.22%,2.15%,-8.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BTS BitShares,BTS,"$41,642,641",$0.016670,"2,498,113,895 *","$156,905",-0.88%,4.12%,-7.96%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DOGE Dogecoin,DOGE,"$24,029,015",$0.000251,95918131883,"$980,005",-2.60%,16.73%,10.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,NXT Nxt,NXT,"$19,063,423",$0.019063,"999,997,096 *","$32,461",-0.46%,7.58%,-2.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XCP Counterparty,XCP,"$18,491,694",$6.99,"2,646,946 *","$39,166",1.66%,5.03%,-13.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,PPC Peercoin,PPC,"$15,989,007",$0.730383,21891261,"$33,700",-0.69%,3.13%,-8.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,MAID MaidSafeCoin,MAID,"$13,696,096",$0.030264,"452,552,412 *","$46,615",-0.55%,10.49%,12.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,DASH Dash,DASH,"$11,263,766",$2.31,4883071,"$52,642",-0.52%,1.77%,-14.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,NMC Namecoin,NMC,"$9,127,495",$0.882711,10340300,"$17,867",-1.07%,2.82%,-8.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XLM Stellar,XLM,"$7,666,924",$0.002165,"3,540,804,475 *","$42,071",-0.38%,17.00%,30.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,FC2 FuelCoin,FC2,"$3,798,056",$0.037942,100101526,"$6,228",-0.96%,-8.53%,70.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,UNITY SuperNET,UNITY,"$2,704,193",$3.31,"816,061 *","$2,737",-0.49%,3.02%,-3.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,XMR Monero,XMR,"$2,525,807",$0.526897,4793736,"$31,247",-0.68%,-1.63%,-18.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,USNBT NuBits,USNBT,"$2,239,011",$0.999355,"2,240,455 *","$122,722",-0.59%,0.61%,-0.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,BLK BlackCoin,BLK,"$2,077,889",$0.027810,"74,718,402 *","$34,729",0.83%,9.42%,-14.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,BTCD BitcoinDark,BTCD,"$2,071,912",$1.74,1193011,"$5,358",1.19%,4.64%,-6.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,YBC YbCoin,YBC,"$1,989,032",$0.854652,"2,327,300 *","$57,063",0.00%,-0.23%,29.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,FTC Feathercoin,FTC,"$1,595,262",$0.025700,62072050,"$5,630",-3.25%,-0.92%,-9.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,NSR NuShares,NSR,"$1,464,762",$0.003089,"474,140,153 *","$26,429",-0.55%,-5.00%,-8.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,BCN Bytecoin,BCN,"$1,395,856",$0.000008,165813223686,"$5,145",-0.58%,0.13%,-11.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,QRK Quark,QRK,"$1,215,019",$0.004891,248415228,"$2,857",0.05%,6.85%,-9.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,XPM Primecoin,XPM,"$1,100,467",$0.137362,8011427,"$10,314",-2.65%,4.79%,-9.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,RDD ReddCoin,RDD,"$1,049,891",$0.000039,"27,232,233,855 *","$2,425",-3.64%,8.15%,-3.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,BAY BitBay,BAY,"$1,049,090",$0.001049,"1,000,015,991 *","$21,887",1.24%,-0.55%,1.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,BITUSD bitUSD,BITUSD,"$916,785",$1.00,"913,865 *","$6,007",-0.88%,1.00%,-0.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,ZET Zetacoin,ZET,"$800,493",$0.004965,161225215,"$17,531",-0.07%,-5.85%,-33.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,SDC ShadowCash,SDC,"$756,015",$0.117265,"6,447,061 *","$3,094",-0.52%,9.18%,17.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,UTC UltraCoin,UTC,"$712,884",$0.031409,22696909,"$6,074",-0.26%,10.61%,-10.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,MONA MonaCoin,MONA,"$659,391",$0.045918,14360100,"$2,253",-1.84%,0.26%,-0.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,XC XCurrency,XC,"$641,658",$0.115417,"5,559,490 *","$1,108",-0.54%,1.86%,-29.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,NVC Novacoin,NVC,"$599,384",$0.707829,846792,"$1,679",1.20%,3.25%,0.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,IXC Ixcoin,IXC,"$596,935",$0.028426,"20,999,906 *",$607,-1.38%,14.90%,1.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,VIA Viacoin,VIA,"$587,248",$0.048003,12233485,"$1,365",-0.50%,1.72%,-9.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,MEC Megacoin,MEC,"$527,861",$0.020116,26240750,$806,-0.26%,3.90%,-6.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,DICE NeoDICE,DICE,"$510,896",$0.510896,"1,000,000 *",$541,-0.44%,27.40%,2.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,WDC WorldCoin,WDC,"$509,797",$0.007506,67922828,"$1,210",-1.31%,5.79%,-18.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,GRCX Gridcoin Classic,GRCX,"$496,689",$0.014992,33129448,$603,-0.55%,17.11%,-17.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,UNO Unobtanium,UNO,"$484,797",$2.52,192418,"$3,017",-0.41%,-1.38%,-16.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,VTC Vertcoin,VTC,"$479,926",$0.048700,9854750,"$3,364",-0.93%,2.74%,-15.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,PTS BitShares PTS,PTS,"$451,680",$0.256177,"1,763,152 *",$651,-1.89%,-0.68%,-3.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,NOTE DNotes,NOTE,"$448,949",$0.004800,93537351,$603,0.07%,7.15%,-5.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,URO Uro,URO,"$437,121",$0.435277,1004237,$769,-1.25%,4.52%,-24.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,VRC VeriCoin,VRC,"$402,421",$0.014952,26914465,"$1,509",-1.02%,2.92%,-6.45%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,MRKT FreeMarket,MRKT,"$385,961",$0.536057,"720,000 *","$2,197",-0.46%,20.01%,10.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,MOON Mooncoin,MOON,"$382,092",$0.000002,193111858028,"$11,164",-4.89%,-7.13%,68.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
47,48,CNMT Coinomat,CNMT,"$375,746",$0.125249,"3,000,000 *","$1,446",-0.44%,15.95%,-1.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
48,49,ANC Anoncoin,ANC,"$366,426",$0.259927,1409729,"$10,726",0.70%,-0.18%,-2.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
49,50,BILS BilShares,BILS,"$358,961",$0.000359,"1,000,000,000 *","$9,576",-2.94%,-0.01%,-11.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
