,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,096,957,927",$96.61,11354025,Low Vol,-0.53%,1.83%,-9.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$56,721,518",$2.98,19030604,Low Vol,0.08%,7.03%,-3.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$2,995,222",$0.501427,5973400,Low Vol,-1.65%,-1.23%,-11.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$2,367,684",$0.121734,19449710,Low Vol,0.28%,2.64%,-1.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$931,437",$3.09,301181,Low Vol,-0.51%,0.75%,-11.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,FTC Feathercoin,FTC,"$694,354",$0.078257,8872700,Low Vol,0.73%,1.97%,-19.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,TRC Terracoin,TRC,"$395,910",$0.130429,3035450,Low Vol,-0.27%,3.75%,-5.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DVC Devcoin,DVC,"$350,827",$0.000073,4777920000,Low Vol,-0.51%,-1.52%,-13.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,FRC Freicoin,FRC,"$274,805",$0.012560,21879664,Low Vol,-0.51%,-5.45%,-0.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,DGC Digitalcoin,DGC,"$93,810",$0.026185,3582563,Low Vol,-0.33%,-1.69%,-6.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,YAC Yacoin,YAC,"$92,500",$0.023381,3956292,Low Vol,-3.18%,3.58%,7.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,BQC BBQCoin,BQC,"$76,284",$0.003836,19888648,Low Vol,-1.26%,-7.03%,0.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,WDC WorldCoin,WDC,"$55,161",$0.007942,6945743,Low Vol,-0.51%,0.81%,-19.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,IXC Ixcoin,IXC,"$51,205",$0.003671,"13,947,314 *",Low Vol,-0.51%,4.88%,-24.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,CNC CHNCoin,CNC,"$45,596",$0.008695,5243794,Low Vol,-10.46%,0.25%,-64.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,MNC Mincoin,MNC,"$42,678",$0.037196,1147361,Low Vol,-0.51%,14.29%,73.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,BTB BitBar,BTB,"$23,567",$5.91,3986,Low Vol,-0.51%,3.88%,-9.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,LKY Luckycoin,LKY,"$12,095",$0.002618,4619548,Low Vol,-0.51%,2.12%,-6.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,MEM Memecoin,MEM,"$10,669",$0.000760,14031450,Low Vol,-0.56%,-3.09%,-29.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,GLC GoldCoin,GLC,"$6,496",$0.000388,16745950,Low Vol,-1.39%,-19.95%,-66.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,BTE Bytecoin,BTE,"$6,391",$0.006950,919450,Low Vol,-0.52%,1.28%,-42.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,FRK Franko,FRK,"$2,892",$0.097146,29766,Low Vol,-0.51%,-18.73%,-41.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,NBL Nibble,NBL,"$2,710",$0.003584,756004,Low Vol,-0.89%,-0.68%,-14.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,AMC AmericanCoin,AMC,"$2,106",$0.001933,1089500,Low Vol,-0.51%,0.86%,-16.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,ELC Elacoin,ELC,"$1,751",$0.080243,21816,Low Vol,-0.51%,1.84%,-7.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,JKC Junkcoin,JKC,$106,$0.000019,5527550,Low Vol,3.95%,-25.14%,-94.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
