,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$3,086,540,935",$223.41,13815450,"$17,145,218",-0.02%,-1.81%,-1.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$460,327,221",$0.014426,"31,908,551,587 *","$446,888",-0.16%,-0.98%,1.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$64,740,928",$1.78,36298154,"$793,432",0.08%,-0.03%,-1.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BTS BitShares,BTS,"$23,679,569",$0.009473,"2,499,765,153 *","$479,601",-0.47%,-4.62%,-9.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,XPY PayCoin,XPY,"$15,303,370",$1.18,13017893,"$77,919",1.78%,-0.49%,-23.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$13,823,872",$0.000141,98039644130,"$93,700",-0.96%,-2.75%,-2.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XLM Stellar,XLM,"$13,436,040",$0.003733,"3,599,634,025 *","$20,383",-0.49%,-2.26%,-11.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,MAID MaidSafeCoin,MAID,"$13,321,557",$0.029436,"452,552,412 *","$2,524",0.07%,0.06%,-4.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,NXT Nxt,NXT,"$11,363,800",$0.011364,"999,997,096 *","$21,542",0.76%,-3.37%,-4.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,DASH Dash,DASH,"$9,389,048",$1.84,5109966,"$44,831",-0.70%,-0.91%,0.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,PPC Peercoin,PPC,"$7,089,291",$0.321245,22068198,"$41,290",0.06%,-2.07%,-4.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,NMC Namecoin,NMC,"$5,060,312",$0.465686,10866350,"$2,799",-1.31%,-3.28%,-3.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,BANX Banx,BANX,"$4,344,193",$1.21,"3,600,882 *","$4,826",-0.04%,-1.80%,-1.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,XCP Counterparty,XCP,"$3,364,301",$1.27,"2,646,359 *","$7,868",0.61%,2.61%,-35.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,YBC YbCoin,YBC,"$3,171,787",$1.06,"3,000,000 *","$30,046",-0.16%,1.98%,9.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,NSR NuShares,NSR,"$2,794,956",$0.004592,"608,638,617 *","$38,483",0.17%,-21.54%,-45.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,USNBT NuBits,USNBT,"$2,260,880",$1.01,"2,246,134 *","$54,433",0.80%,0.57%,5.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,UNITY SuperNET,UNITY,"$2,157,318",$2.64,"816,061 *",$957,-5.35%,-6.28%,3.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,BCN Bytecoin,BCN,"$1,916,534",$0.000011,169342051630,$675,0.08%,-1.03%,17.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,XMR Monero,XMR,"$1,630,421",$0.265034,6151730,"$11,615",1.28%,-3.58%,-11.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,GEMZ GetGems,GEMZ,"$1,394,669",$0.015824,"88,135,367 *",$695,-0.03%,-3.14%,-11.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,BLK BlackCoin,BLK,"$1,384,701",$0.018517,"74,781,409 *","$4,439",-1.23%,-2.49%,-4.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,MONA MonaCoin,MONA,"$1,084,070",$0.066183,16379850,"$3,934",0.86%,10.59%,46.91%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
