,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$9,089,310,800",$573.91,15837468,"$86,301,632",0.08%,0.61%,-1.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$911,880,561",$10.93,83434734,"$5,303,044",-0.19%,-2.00%,-2.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$212,054,036",$0.005963,"35,562,730,335 *","$592,108",-0.05%,-0.22%,-1.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,LTC Litecoin,LTC,"$176,944,388",$3.74,47313529,"$2,380,149",0.06%,-0.10%,3.50%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,XMR Monero,XMR,"$121,421,775",$9.51,12764403,"$49,325,764",9.86%,85.50%,267.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,ETC Ethereum Classic,ETC,"$109,972,182",$1.32,83403116,"$4,837,514",-1.71%,-2.85%,-23.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,STEEM Steem,STEEM,"$99,580,163",$0.784111,"126,997,481 *","$148,232",-0.68%,-9.90%,-45.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DASH Dash,DASH,"$83,140,741",$12.42,6696325,"$932,715",0.10%,-1.47%,-7.56%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XEM NEM,XEM,"$53,506,813",$0.005945,"8,999,999,999 *","$240,770",0.62%,3.95%,-5.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MAID MaidSafeCoin,MAID,"$48,072,831",$0.106226,"452,552,412 *","$379,119",-1.22%,-4.14%,0.80%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,FCT Factom,FCT,"$26,008,689",$2.97,"8,753,219 *","$1,651,147",3.64%,8.25%,24.74%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,LSK Lisk,LSK,"$25,840,425",$0.258404,"100,000,000 *","$443,494",3.09%,-1.18%,-15.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,DOGE Dogecoin,DOGE,"$24,257,404",$0.000229,105791788757,"$240,313",0.46%,1.47%,-2.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,DGD DigixDAO,DGD,"$23,629,789",$11.81,"2,000,000 *","$45,455",8.86%,16.25%,17.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,NXT Nxt,NXT,"$22,021,855",$0.022044,"998,999,994 *","$660,550",-1.58%,-4.72%,-17.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,WAVES Waves,WAVES,"$15,880,404",$0.158804,"100,000,000 *","$35,981",2.37%,-1.66%,-8.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,PPY Peerplays [old],PPY,"$14,955,464",$14.96,"1,000,000 *","$18,923",-2.68%,-7.06%,-14.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,EMC Emercoin,EMC,"$14,382,986",$0.374828,38372263,"$35,159",-1.61%,-0.54%,-13.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,BTS BitShares,BTS,"$13,703,556",$0.005327,"2,572,300,000 *","$206,225",-0.89%,-2.12%,-8.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,AMP HyperSpace,AMP,"$13,624,814",$0.217700,"62,585,264 *","$1,238,097",-2.65%,30.47%,63.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,XLM Stellar,XLM,"$10,218,584",$0.001808,"5,653,103,727 *","$47,598",-0.81%,-3.67%,-5.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,XCP Counterparty,XCP,"$9,274,423",$3.53,"2,624,532 *","$75,402",4.47%,19.27%,32.13%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,NAUT NautilusCoin,NAUT,"$8,458,796",$0.677522,"12,484,895 *","$509,414",-2.82%,53.78%,89.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,PPC Peercoin,PPC,"$8,438,420",$0.359659,23462283,"$164,736",-0.93%,-0.91%,1.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,BCN Bytecoin,BCN,"$8,362,623",$0.000046,181246450414,"$2,848",-2.38%,1.02%,-12.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,BCY BitCrystals,BCY,"$8,111,516",$0.192896,"42,051,229 *","$31,164",2.07%,20.98%,42.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,SC Siacoin,SC,"$7,895,880",$0.000443,17843416122,"$76,341",-0.01%,-2.34%,-12.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,XAUR Xaurum,XAUR,"$7,015,918",$0.084960,"82,579,347 *","$48,881",-12.93%,-15.20%,-99.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,USDT Tether,USDT,"$6,951,591",$1.00,"6,951,591 *","$1,215,111",0.00%,0.00%,0.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,AGRS Agoras Tokens,AGRS,"$6,209,106",$0.147836,"42,000,000 *","$3,036",-10.79%,8.93%,3.94%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,SJCX Storjcoin X,SJCX,"$5,739,882",$0.115915,"49,518,143 *","$17,920",1.06%,0.08%,-2.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,GAME GameCredits,GAME,"$5,255,776",$0.092145,57038225,"$128,812",-7.47%,-16.38%,-22.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,YBC YbCoin,YBC,"$4,963,118",$1.65,"3,011,407 *","$40,511",-0.96%,-1.82%,-3.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,SYS Syscoin,SYS,"$4,483,603",$0.009280,483156170,"$82,127",-1.30%,-6.80%,-26.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,NMC Namecoin,NMC,"$4,310,303",$0.292494,14736400,"$429,115",0.96%,2.22%,3.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,TIPS FedoraCoin,TIPS,"$4,204,634",$0.000010,434064483911,"$1,957",0.00%,1.72%,0.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,YOC Yocoin,YOC,"$3,856,089",$0.171783,22447409,"$42,174",0.34%,16.90%,18.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,DCR Decred,DCR,"$3,764,106",$1.50,2501776,"$12,230",1.79%,1.76%,-3.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,BTCD BitcoinDark,BTCD,"$2,956,087",$2.30,1283024,"$12,485",-0.94%,-2.47%,-2.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,QWARK Qwark,QWARK,"$2,611,482",$0.041963,"62,232,440 *","$1,811",6.06%,0.36%,-5.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,VASH VPNCoin,VASH,"$2,487,945",$0.006215,"400,339,746 *","$1,473",-0.32%,-1.07%,-3.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,IOC I/O Coin,IOC,"$2,441,155",$0.149994,"16,275,016 *","$16,068",-1.11%,5.16%,18.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
42,43,RBY Rubycoin,RBY,"$2,258,330",$0.096473,"23,408,926 *","$1,023",0.09%,-0.48%,11.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,BLK BlackCoin,BLK,"$2,122,834",$0.028068,"75,631,053 *","$10,124",0.24%,-1.48%,-8.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,DGB DigiByte,DGB,"$2,112,880",$0.000298,7079844774,"$33,647",0.09%,-3.71%,-10.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,STRAT Stratis,STRAT,"$2,069,146",$0.021103,"98,051,015 *","$52,311",3.84%,-10.88%,0.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,GRC GridCoin,GRC,"$2,052,719",$0.005403,379899532,"$1,376",0.66%,-3.50%,-5.93%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
47,48,SDC ShadowCash,SDC,"$2,045,832",$0.311352,"6,570,797 *","$10,421",0.72%,16.35%,30.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
48,49,OMNI Omni,OMNI,"$1,992,606",$3.60,"553,822 *","$3,041",0.45%,-3.81%,-10.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
49,50,XVC Vcash,XVC,"$1,948,085",$0.132009,14757220,"$19,238",0.70%,7.70%,20.47%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
50,51,XHI HiCoin,XHI,"$1,817,131",$0.029843,60890422,"$149,621",-1.13%,6.01%,23.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
51,52,HTC HitCoin,HTC,"$1,759,543",$0.000160,10996318099,"$38,580",6.19%,72.02%,82.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
52,53,FTC Feathercoin,FTC,"$1,591,432",$0.011937,133317400,"$1,155",0.10%,0.02%,-6.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
53,54,MONA MonaCoin,MONA,"$1,585,339",$0.041817,37911600,"$1,107",-0.86%,-1.98%,6.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
54,55,GCR Global Curren...,GCR,"$1,565,391",$0.015438,"101,399,714 *","$5,206",1.15%,1.30%,3.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
55,56,EXP Expanse,EXP,"$1,422,506",$0.398468,3569939,"$27,980",0.62%,-0.74%,-7.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
56,57,NXS Nexus,NXS,"$1,345,235",$0.032543,41337567,$820,0.09%,4.94%,25.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
57,58,VRC VeriCoin,VRC,"$1,324,747",$0.047725,27758118,"$6,863",-1.92%,-8.41%,-22.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
