,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$6,615,992,343",$433.50,15261650,"$53,033,416",0.12%,0.59%,-0.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$500,569,513",$6.47,77387535,"$9,851,657",-0.10%,1.46%,37.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$268,939,306",$0.007889,"34,090,841,338 *","$570,935",0.04%,-1.05%,-2.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,LTC Litecoin,LTC,"$153,848,776",$3.44,44699251,"$986,849",0.09%,1.06%,-0.17%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,MAID MaidSafeCoin,MAID,"$39,656,141",$0.087628,"452,552,412 *","$4,523,882",0.52%,2.31%,56.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$26,276,095",$0.000254,103282219341,"$251,988",0.92%,0.17%,-10.96%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DASH Dash,DASH,"$25,029,680",$4.00,6253721,"$150,601",0.51%,-1.72%,-0.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,PPC Peercoin,PPC,"$11,028,586",$0.479094,23019662,"$63,272",0.43%,1.65%,-5.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,BTS BitShares,BTS,"$10,516,233",$0.004133,"2,544,353,574 *","$143,610",-0.04%,2.42%,-0.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,XMR Monero,XMR,"$9,711,960",$0.870485,11156951,"$145,400",0.25%,4.85%,11.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,XLM Stellar,XLM,"$9,583,492",$0.001981,"4,837,356,606 *","$33,416",0.09%,-1.01%,-7.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,FCT Factom,FCT,"$9,211,884",$1.05,"8,753,502 *","$169,115",0.88%,4.49%,4.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,EMC Emercoin,EMC,"$8,044,535",$0.216247,37200592,"$7,467",0.96%,0.42%,-9.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NXT Nxt,NXT,"$7,469,707",$0.007470,"999,997,096 *","$31,821",-2.43%,-0.64%,-9.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
