,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$10,190,038,594",$825.37,12346025,"$11,300,875",-0.03%,-1.25%,-6.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$568,440,706",$22.40,25376204,"$3,546,106",0.37%,-0.94%,-7.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$168,555,395",$0.021560,"7,817,889,792 *","$112,301",-0.03%,3.65%,6.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$121,775,514",$5.77,21107370,"$855,818",-0.64%,-3.12%,-4.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NXT Nxt,NXT,"$66,887,849",$0.066888,"999,998,016 *","$150,627",3.25%,0.47%,-14.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,OMNI Omni,OMNI,"$53,732,367",$86.74,"619,478 *","$17,114",4.24%,10.99%,-22.34%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DOGE Dogecoin,DOGE,"$53,548,742",$0.001279,41857077248,"$2,000,718",6.66%,-13.01%,-20.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,NMC Namecoin,NMC,"$43,247,804",$5.46,7927093,"$732,771",0.02%,-3.45%,-11.11%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,QRK Quark,QRK,"$24,838,590",$0.100365,247482608,"$206,069",-0.93%,-2.28%,12.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,PTS BitShares PTS,PTS,"$20,423,494",$14.44,"1,413,980 *","$47,812",3.86%,12.70%,16.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MEC Megacoin,MEC,"$14,452,782",$0.656879,22002200,"$37,601",5.23%,3.58%,1.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,WDC WorldCoin,WDC,"$14,181,219",$0.330140,42955200,"$67,850",3.07%,1.77%,-2.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XPM Primecoin,XPM,"$12,906,286",$3.02,4272396,"$63,829",0.40%,-2.93%,-11.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,IFC Infinitecoin,IFC,"$9,670,061",$0.000107,90004496384,"$19,282",-0.32%,-3.32%,-21.93%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,FTC Feathercoin,FTC,"$9,240,476",$0.288880,31987300,"$59,291",-0.03%,-4.35%,-11.24%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,NVC Novacoin,NVC,"$7,464,187",$12.83,581572,"$8,770",0.27%,-2.11%,-13.20%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,TIX Tickets,TIX,"$3,817,576",$0.000057,66876280832,"$1,738",-2.95%,-6.23%,-13.34%,Add to Watchlist  Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,DGC Digitalcoin,DGC,"$3,410,900",$0.264135,12913477,"$55,284",1.98%,-2.13%,-5.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,DVC Devcoin,DVC,"$3,336,392",$0.000536,6218919936,"$4,778",-1.04%,?,-16.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,ZET Zetacoin,ZET,"$3,270,390",$0.020444,159964944,"$7,534",-0.24%,-4.85%,-5.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,NET NetCoin,NET,"$2,475,234",$0.011415,216843008,"$11,551",-1.71%,-4.77%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,ANC Anoncoin,ANC,"$2,336,404",$3.30,707325,"$17,460",1.76%,-3.18%,-7.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,MEOW Kittehcoin,MEOW,"$2,203,434",$0.000385,5716555776,"$237,897",0.81%,-7.74%,-48.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,CLR Copperlark,CLR,"$1,941,511",$0.317767,6109849,"$1,002",3.11%,-4.05%,-15.23%,Add to Watchlist Remove from Watchlist  Watchlist full! View Chart View Markets View Historical Data
24,25,MOON Mooncoin,MOON,"$1,911,299",$0.000072,26603624448,"$16,403",-0.90%,-2.43%,-46.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,IXC Ixcoin,IXC,"$1,892,754",$0.105235,"17,986,034 *",$535,-0.03%,0.64%,-8.93%,Add to Watchlist Remove from Watchlist  Watchlist full! View Chart View Markets View Historical Data
26,27,EAC EarthCoin,EAC,"$1,776,186",$0.001601,1109271680,"$355,252",0.94%,-3.21%,5.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,FRC Freicoin,FRC,"$1,715,547",$0.046633,36787948,$508,0.11%,-3.78%,-7.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,TRC Terracoin,TRC,"$1,635,175",$0.321894,5079850,"$8,763",-4.90%,-1.59%,-19.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
29,30,LEAF LeafCoin,LEAF,"$1,440,499",$0.000190,7588594176,"$122,148",-2.62%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
30,31,SRC SecureCoin,SRC,"$1,298,986",$1.14,1140451,"$7,189",2.18%,12.16%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
31,32,TIPS FedoraCoin,TIPS,"$1,273,410",$0.000010,124827607040,"$86,043",-0.41%,-4.69%,-52.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
32,33,PRT Particle,PRT,"$1,210,926",$0.001735,697968832,"$1,281",-0.50%,-8.31%,-44.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
33,34,VTC Vertcoin,VTC,"$1,072,215",$0.760760,1409400,"$80,009",25.46%,74.22%,120.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
34,35,LOT LottoCoin,LOT,"$1,010,355",$0.000173,5829163008,"$124,757",6.49%,-10.27%,-42.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
35,36,TAG TagCoin,TAG,"$987,674",$1.28,772879,"$11,591",?,-4.61%,-3.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
36,37,COL Colossuscoin,COL,"$950,268",$0.000003,312721997824,"$33,721",-0.32%,-8.22%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
37,38,GLC GoldCoin,GLC,"$846,240",$0.028599,29589756,"$5,406",3.58%,1.94%,-1.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
38,39,BQC BBQCoin,BQC,"$833,467",$0.026544,31399568,"$7,342",-3.36%,-3.62%,-5.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
39,40,CBX Bullion,CBX,"$775,293",$0.825370,939327,"$24,868",-3.42%,-16.69%,-11.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
40,41,MMC Memorycoin,MMC,"$691,544",$0.192311,3595965,"$6,979",0.07%,2.28%,-4.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
41,42,BTB BitBar,BTB,"$648,699",$68.09,9527,"$3,265",2.65%,3.16%,-8.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets  View Historical Data
42,43,UNO Unobtanium,UNO,"$594,954",$4.11,144601,"$4,596",-0.07%,-2.89%,3.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets  View Historical Data
43,44,FZ Frozen,FZ,"$568,014",$0.105083,5405395,"$1,630",-0.71%,-0.47%,-16.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,FST Fastcoin,FST,"$563,295",$0.010012,56263452,"$11,545",0.07%,4.22%,-14.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,DIME Dimecoin,DIME,"$514,671",$0.000005,107782152192,"$11,097",-4.57%,56.86%,-37.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets  View Historical Data
46,47,ASC AsicCoin,ASC,"$497,294",$0.001179,421787168,"$3,243",3.50%,1.80%,-5.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets  View Historical Data
47,48,RED RedCoin,RED,"$466,634",$0.014124,33039176,$508,-2.45%,-2.06%,-7.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
48,49,CAT Catcoin,CAT,"$424,160",$0.392777,1079900,"$7,940",-2.86%,-15.90%,-6.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
49,50,FLO FLO,FLO,"$409,035",$0.010202,40094500,$823,-0.73%,-4.22%,8.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
50,51,VEL VelocityCoin,VEL,"$408,164",$0.009082,44940200,"$2,035",-7.84%,-20.89%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
51,52,DEM Deutsche eMark,DEM,"$360,345",$0.088108,4089800,"$3,940",-2.50%,-2.43%,-36.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
52,53,DTC Datacoin,DTC,"$353,989",$0.233580,1515494,"$2,807",-0.03%,-3.57%,-12.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
53,54,JKC Junkcoin,JKC,"$342,513",$0.033481,10230050,"$2,139",-0.32%,-4.04%,-26.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
54,55,FRK Franko,FRK,"$323,355",$3.06,105529,"$6,847",-0.03%,-11.16%,82.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
55,56,KDC KlondikeCoin,KDC,"$318,887",$0.091756,3475395,"$4,145",-3.74%,?,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
56,57,GDC GrandCoin,GDC,"$293,432",$0.000891,329180992,"$6,519",-2.48%,-7.31%,-11.19%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
57,58,GRA Grain,GRA,"$264,998",$0.000332,798670016,"$1,719",1.23%,18.73%,-50.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
58,59,SBC StableCoin,SBC,"$259,181",$0.025586,10129605,"$6,451",4.44%,-32.65%,-44.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
59,60,RPC RonPaulCoin,RPC,"$254,421",$13.29,19146,"$15,153",-8.64%,-12.24%,-50.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
60,61,BTE Bytecoin,BTE,"$238,332",$0.125283,1902354,"$1,194",-5.22%,-7.06%,-21.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
61,62,42 42-coin,42,"$235,084","$206,343",1.1392916,"$12,428",-3.10%,-14.51%,-31.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
62,63,PHS Philosopher S...,PHS,"$225,957",$0.133570,"1,691,676 *","$2,298",-5.07%,-9.87%,-24.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
63,64,QQC QQCoin,QQC,"$207,044",$0.013554,15275253,$948,2.59%,-8.21%,-17.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
64,65,GLC GlobalCoin,GLC,"$199,385",$0.006892,28930600,"$2,382",-0.04%,-5.88%,-1.48%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
