,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$3,499,388,303",$238.26,14687325,"$12,999,006",0.03%,-0.15%,1.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$170,115,825",$0.005236,"32,488,247,336 *","$355,762",-0.14%,-5.11%,-20.05%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$128,350,035",$3.01,42579585,"$982,441",0.00%,-0.62%,4.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,ETH Ethereum,ETH,"$49,249,083",$0.668379,73684365,"$103,497",0.31%,-2.74%,-6.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,BTS BitShares,BTS,"$13,066,878",$0.005202,"2,511,953,117 *","$69,580",0.12%,-1.87%,-17.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,BANX Banx,BANX,"$12,988,644",$1.81,"7,174,808 *","$8,300",0.02%,-0.19%,1.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DASH Dash,DASH,"$12,708,658",$2.17,5849971,"$41,353",0.19%,0.28%,-8.59%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,DOGE Dogecoin,DOGE,"$11,991,399",$0.000118,101248360146,"$35,274",-0.22%,-2.55%,-2.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XLM Stellar,XLM,"$9,921,658",$0.002051,"4,837,356,606 *",$945,0.02%,0.81%,-1.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MAID MaidSafeCoin,MAID,"$8,503,849",$0.018791,"452,552,412 *","$6,121",0.02%,0.16%,-6.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,PPC Peercoin,PPC,"$8,496,702",$0.374779,22671233,"$5,945",-0.05%,0.38%,-2.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,NXT Nxt,NXT,"$8,106,208",$0.008106,"999,997,096 *","$12,039",0.13%,-1.84%,-10.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
