,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$5,907,841,888",$492.11,12005125,Low Vol,-1.31%,11.34%,55.65%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$94,452,810",$4.09,23096792,Low Vol,-3.21%,-5.33%,8.81%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$79,811,364",$0.010209,"7,817,889,792 *",Low Vol,-1.73%,0.82%,22.20%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$15,956,729",$0.768902,20752612,Low Vol,-4.92%,7.51%,30.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NMC Namecoin,NMC,"$4,578,177",$0.625477,7319500,Low Vol,-0.85%,-3.68%,1.29%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,NVC Novacoin,NVC,"$2,355,871",$4.87,483751,Low Vol,0.53%,-4.06%,-4.42%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XPM Primecoin,XPM,"$2,119,653",$0.688949,3076647,Low Vol,-1.55%,-9.57%,-4.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,WDC WorldCoin,WDC,"$1,554,779",$0.050146,31005034,Low Vol,-3.71%,9.34%,57.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,FTC Feathercoin,FTC,"$1,388,509",$0.060037,23127400,Low Vol,-27.02%,-35.66%,-42.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,CBX Bullion,CBX,"$1,031,001",$1.14,900959,Low Vol,1.45%,-3.43%,128.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,DVC Devcoin,DVC,"$477,500",$0.000084,5707720192,Low Vol,-1.31%,11.34%,24.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,MEC Megacoin,MEC,"$347,575",$0.016732,20773400,Low Vol,-2.73%,17.32%,16.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
