,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$5,803,309,467",$388.78,14926850,"$77,761,984",-1.82%,-0.33%,4.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,XRP XRP,XRP,"$179,216,948",$0.005344,"33,537,439,933 *","$1,002,001",-0.38%,0.84%,24.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,LTC Litecoin,LTC,"$151,032,152",$3.47,43486210,"$4,063,173",-1.32%,-1.68%,-4.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,ETH Ethereum,ETH,"$62,889,060",$0.835500,75271155,"$443,608",-0.32%,-3.28%,-4.38%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DASH Dash,DASH,"$14,154,014",$2.34,6040920,"$55,270",-1.16%,0.17%,9.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DOGE Dogecoin,DOGE,"$13,028,375",$0.000128,102120283551,"$145,274",-0.30%,-2.25%,-2.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,PPC Peercoin,PPC,"$9,445,952",$0.413941,22819543,"$57,252",-1.04%,-0.78%,-11.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XLM Stellar,XLM,"$9,289,133",$0.001920,"4,837,356,606 *","$11,491",-0.16%,1.23%,11.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,BTS BitShares,BTS,"$8,652,610",$0.003414,"2,534,613,763 *","$81,030",-0.33%,-1.64%,6.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,MAID MaidSafeCoin,MAID,"$7,089,469",$0.015666,"452,552,412 *","$15,349",1.08%,8.52%,19.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,NXT Nxt,NXT,"$6,437,784",$0.006438,"999,997,096 *","$21,412",-0.08%,1.04%,4.96%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,NMC Namecoin,NMC,"$5,500,772",$0.420856,13070450,"$63,419",-0.86%,-5.06%,-13.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,BCN Bytecoin,BCN,"$4,796,969",$0.000027,177827651695,"$9,079",2.06%,0.06%,4.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,NSR NuShares,NSR,"$4,764,081",$0.005795,"822,144,717 *","$2,993",-1.17%,-4.29%,-2.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,GRC GridCoin,GRC,"$4,639,867",$0.012519,370625256,"$2,425",-0.68%,-2.26%,-4.26%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,XMR Monero,XMR,"$4,524,150",$0.439947,10283409,"$43,779",-0.43%,-0.60%,9.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,RBY Rubycoin,RBY,"$4,500,266",$0.200326,"22,464,690 *","$21,051",-1.10%,0.47%,19.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,GCR  Global Curren...,GCR,"$1,992,512",$0.019903,"100,109,676 *","$12,768",-4.63%,1.46%,126.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,XCP Counterparty,XCP,"$1,986,967",$0.754480,"2,633,560 *","$1,836",-1.14%,-1.24%,-10.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,YBC YbCoin,YBC,"$1,918,612",$0.638300,"3,005,814 *","$31,500",0.00%,-0.97%,-2.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,BLK BlackCoin,BLK,"$1,866,340",$0.024842,"75,129,398 *","$10,298",-0.16%,0.48%,1.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
